destination,date,weather,temperature,travelRestriction
AMS,2025-01-28T16:44:00,Rainy,10.3,Health Check
YVR,2024-09-07T12:49:00,Snowy,17.7,Visa Required
CUN,2025-09-03T19:59:00,Cloudy,25.3,Health Check
YVR,2024-07-25T10:02:00,Snowy,23.6,Visa Required
ORD,2025-01-05T05:13:00,Sunny,18.1,Visa Required
CDG,2025-09-22T09:03:00,Rainy,29.4,None
HKG,2025-01-22T20:20:00,Rainy,3.9,None
ORD,2025-03-14T20:42:00,Cloudy,-3.4,None
JFK,2025-04-30T18:41:00,Sunny,-2.0,Health Check
HKG,2024-11-23T08:32:00,Rainy,2.9,None
SIN,2024-02-19T20:54:00,Sunny,2.7,None
MEX,2024-04-27T06:03:00,Rainy,27.5,Health Check
NRT,2024-08-29T08:24:00,Cloudy,8.4,None
DOH,2024-10-02T15:22:00,Sunny,27.4,Visa Required
DXB,2025-08-28T18:06:00,Cloudy,24.2,None
YUL,2024-08-06T15:16:00,Rainy,-9.8,None
YYZ,2025-12-18T05:20:00,Sunny,21.3,Health Check
MEX,2024-11-02T12:29:00,Rainy,14.6,None
CUN,2025-06-02T13:27:00,Snowy,11.7,None
YYZ,2025-08-22T11:21:00,Rainy,16.5,Health Check
CDG,2024-10-15T19:23:00,Rainy,16.0,Health Check
MIA,2025-01-01T20:01:00,Sunny,34.9,Health Check
YYZ,2024-07-23T15:57:00,Cloudy,16.6,Visa Required
MIA,2024-12-03T22:42:00,Snowy,21.5,Visa Required
JFK,2025-01-15T03:42:00,Snowy,30.7,Visa Required
YVR,2025-05-04T02:32:00,Rainy,12.8,Health Check
FRA,2025-07-05T15:26:00,Rainy,3.5,Health Check
SJO,2025-07-29T21:26:00,Sunny,19.3,Visa Required
CUN,2024-12-04T14:52:00,Snowy,33.2,Health Check
JFK,2025-05-14T22:57:00,Cloudy,4.1,Health Check
DOH,2024-02-14T12:53:00,Rainy,21.5,Visa Required
CUN,2025-10-15T12:11:00,Cloudy,26.4,None
CDG,2024-05-24T00:58:00,Snowy,6.0,Health Check
DXB,2024-12-16T02:15:00,Sunny,13.2,Visa Required
YYZ,2024-12-25T11:53:00,Rainy,26.9,Health Check
SIN,2025-12-27T03:09:00,Sunny,28.4,Visa Required
DEL,2025-09-16T08:13:00,Rainy,22.1,None
LAX,2024-05-30T08:05:00,Sunny,29.5,Health Check
CUN,2024-11-17T11:23:00,Cloudy,-1.3,Health Check
CDG,2025-09-19T12:54:00,Rainy,9.5,None
PTY,2024-08-20T07:21:00,Sunny,-1.8,None
YYZ,2024-07-24T03:33:00,Snowy,-3.3,Health Check
MIA,2025-02-26T03:21:00,Snowy,0.2,Visa Required
LAX,2024-04-30T19:40:00,Snowy,-9.9,Health Check
PTY,2024-11-17T13:25:00,Snowy,17.7,None
YVR,2024-01-09T03:32:00,Rainy,7.6,Health Check
SJO,2025-04-12T20:06:00,Rainy,4.3,Health Check
LAX,2024-10-22T22:28:00,Sunny,10.3,None
SIN,2025-06-07T06:04:00,Snowy,27.1,Visa Required
MEX,2025-08-08T12:50:00,Sunny,31.6,None
FRA,2024-08-16T06:20:00,Sunny,29.1,Visa Required
ORD,2025-07-29T23:12:00,Rainy,24.2,Health Check
LHR,2024-12-23T10:32:00,Snowy,23.3,Visa Required
SJO,2025-01-02T10:19:00,Sunny,24.7,Health Check
FRA,2024-09-07T20:07:00,Sunny,20.3,Health Check
DOH,2025-08-26T02:12:00,Rainy,3.0,Visa Required
ORD,2025-02-05T05:58:00,Rainy,8.0,Visa Required
YYZ,2025-09-02T11:00:00,Snowy,1.7,None
LHR,2024-04-12T10:14:00,Cloudy,9.1,None
MIA,2024-07-14T20:52:00,Cloudy,25.4,Health Check
FRA,2024-01-03T22:33:00,Rainy,16.0,Visa Required
DOH,2024-09-27T23:47:00,Snowy,-1.8,None
LAX,2025-11-27T09:51:00,Rainy,8.2,Visa Required
ORD,2024-06-11T06:29:00,Snowy,20.3,Visa Required
LAX,2024-10-28T09:37:00,Rainy,4.6,Visa Required
MEX,2024-04-05T02:07:00,Snowy,10.4,Health Check
FRA,2025-02-11T19:39:00,Snowy,29.8,Visa Required
PTY,2024-01-20T20:41:00,Snowy,29.0,Health Check
HKG,2024-02-08T06:13:00,Rainy,34.1,None
SIN,2024-05-29T13:39:00,Cloudy,7.3,Health Check
JFK,2025-06-02T15:19:00,Cloudy,32.4,None
CUN,2024-09-13T02:11:00,Snowy,0.8,Visa Required
PTY,2025-07-31T11:27:00,Sunny,17.5,Health Check
DXB,2024-01-18T20:31:00,Sunny,4.3,None
CUN,2024-03-02T18:03:00,Rainy,2.0,Health Check
DOH,2025-01-22T19:11:00,Rainy,14.0,None
LAX,2024-06-06T23:44:00,Sunny,-1.8,Visa Required
LHR,2024-07-27T16:57:00,Sunny,1.6,Health Check
HKG,2024-09-06T02:00:00,Sunny,-9.8,None
SIN,2024-04-03T10:38:00,Sunny,9.4,Visa Required
CUN,2025-06-14T08:35:00,Snowy,5.1,Health Check
YUL,2025-02-21T19:19:00,Sunny,17.5,Visa Required
HKG,2025-11-24T19:47:00,Cloudy,19.5,Visa Required
MIA,2025-10-19T20:56:00,Snowy,12.1,None
DXB,2024-07-24T01:20:00,Cloudy,19.3,Health Check
SIN,2024-08-19T16:07:00,Snowy,23.1,Health Check
MIA,2024-06-11T16:00:00,Snowy,12.7,Health Check
FRA,2024-03-10T20:19:00,Sunny,26.8,None
CDG,2024-01-14T23:13:00,Snowy,6.4,None
DEL,2024-06-20T20:58:00,Rainy,12.8,Health Check
FRA,2024-05-05T10:23:00,Sunny,16.2,Health Check
DXB,2024-01-12T05:22:00,Rainy,3.3,Health Check
AMS,2025-04-20T15:27:00,Snowy,0.6,Health Check
FRA,2024-10-25T04:23:00,Cloudy,29.5,Visa Required
YVR,2024-08-13T21:06:00,Rainy,-6.1,None
HKG,2025-12-21T10:35:00,Rainy,16.0,Visa Required
DOH,2024-05-21T18:40:00,Sunny,28.2,Health Check
YYZ,2025-08-05T02:03:00,Sunny,-4.7,None
DEL,2025-10-05T15:42:00,Cloudy,-8.0,Health Check
JFK,2024-05-20T13:12:00,Snowy,12.1,None
MEX,2025-04-13T16:29:00,Sunny,4.1,Health Check
NRT,2025-09-01T04:38:00,Snowy,-5.0,Visa Required
CUN,2024-06-10T00:29:00,Snowy,30.6,Health Check
LAX,2025-10-15T00:15:00,Snowy,-2.3,None
NRT,2025-11-09T17:42:00,Snowy,7.6,Health Check
ORD,2025-03-21T19:42:00,Rainy,27.3,Visa Required
DXB,2025-08-14T02:12:00,Cloudy,26.1,Health Check
LAX,2025-12-13T11:49:00,Sunny,34.9,Health Check
CDG,2024-07-08T11:45:00,Rainy,-1.0,Health Check
YUL,2025-10-29T20:06:00,Cloudy,33.7,Visa Required
MIA,2025-02-28T10:26:00,Sunny,34.3,Visa Required
MEX,2024-09-07T17:35:00,Snowy,3.9,Visa Required
YVR,2025-05-01T11:44:00,Rainy,7.7,Visa Required
YYZ,2025-08-10T01:34:00,Cloudy,-7.0,Visa Required
SJO,2025-08-05T19:06:00,Cloudy,8.2,Health Check
YVR,2024-02-06T06:33:00,Rainy,24.4,Health Check
YVR,2024-01-17T19:31:00,Cloudy,-4.0,None
DXB,2024-01-09T05:54:00,Cloudy,2.1,None
SJO,2025-11-09T09:05:00,Sunny,20.9,Health Check
CDG,2025-12-14T09:50:00,Rainy,32.7,Health Check
LAX,2025-06-14T01:01:00,Sunny,20.9,None
YYZ,2025-11-26T17:37:00,Snowy,3.2,None
SJO,2024-08-25T14:17:00,Snowy,9.1,Health Check
YUL,2024-10-14T20:02:00,Snowy,-7.1,Visa Required
DXB,2025-02-28T17:51:00,Sunny,-8.7,Visa Required
MIA,2024-04-10T01:14:00,Sunny,25.9,Visa Required
CUN,2025-08-09T23:56:00,Rainy,13.8,Visa Required
SJO,2024-07-11T18:06:00,Rainy,-4.1,Health Check
CDG,2024-12-17T06:04:00,Cloudy,13.1,None
AMS,2024-01-11T06:34:00,Cloudy,-5.6,Health Check
LHR,2025-02-15T18:50:00,Cloudy,1.1,Health Check
LHR,2024-05-30T22:01:00,Cloudy,-7.6,Health Check
YYZ,2024-10-14T06:03:00,Cloudy,29.5,Health Check
SIN,2024-09-30T10:44:00,Rainy,22.5,Visa Required
ORD,2025-07-28T05:50:00,Rainy,7.7,Visa Required
MEX,2025-03-04T03:19:00,Rainy,21.9,Visa Required
YYZ,2024-03-12T08:43:00,Sunny,21.7,None
LAX,2024-11-16T08:26:00,Rainy,16.8,Visa Required
DEL,2025-11-23T19:17:00,Snowy,-1.7,Health Check
FRA,2025-09-08T00:22:00,Rainy,30.9,Health Check
LAX,2025-04-04T09:07:00,Cloudy,8.0,None
HKG,2025-11-03T11:10:00,Sunny,22.9,Health Check
DXB,2025-02-26T20:40:00,Snowy,34.3,Health Check
HKG,2024-12-24T00:35:00,Sunny,25.7,Visa Required
SJO,2024-03-09T19:24:00,Snowy,24.6,Health Check
CDG,2025-10-01T20:01:00,Rainy,33.4,None
DEL,2024-05-17T04:58:00,Rainy,2.4,Visa Required
CUN,2025-10-07T01:05:00,Snowy,-8.2,Visa Required
MIA,2024-09-01T13:20:00,Snowy,30.9,None
YYZ,2025-11-18T11:32:00,Cloudy,-1.5,Visa Required
HKG,2024-01-14T02:42:00,Cloudy,1.1,None
DOH,2024-02-15T23:29:00,Sunny,20.3,None
ORD,2025-06-11T02:02:00,Cloudy,-5.9,None
SJO,2024-04-05T20:33:00,Snowy,16.1,None
PTY,2025-11-02T21:52:00,Sunny,22.7,None
MEX,2025-03-25T09:04:00,Rainy,33.1,None
DXB,2024-10-15T14:25:00,Snowy,1.7,Health Check
DOH,2024-08-02T13:55:00,Rainy,10.9,Visa Required
YUL,2025-07-02T22:13:00,Rainy,25.5,Health Check
DOH,2024-12-17T20:41:00,Cloudy,32.3,None
FRA,2025-09-02T16:56:00,Rainy,12.7,None
MIA,2025-07-12T20:42:00,Snowy,12.0,Visa Required
JFK,2024-03-22T20:34:00,Cloudy,-4.5,Health Check
YVR,2024-11-06T20:38:00,Rainy,23.2,None
LAX,2024-03-04T14:21:00,Rainy,32.5,Visa Required
DOH,2024-04-27T17:42:00,Rainy,-6.2,None
SJO,2024-06-21T18:30:00,Snowy,24.8,None
LHR,2025-09-11T16:50:00,Rainy,16.6,Visa Required
PTY,2024-08-14T04:24:00,Snowy,13.7,Visa Required
PTY,2024-04-12T16:40:00,Cloudy,-4.4,Health Check
FRA,2024-02-17T19:49:00,Rainy,7.7,None
JFK,2024-11-14T16:55:00,Rainy,11.6,Visa Required
YYZ,2024-03-01T03:04:00,Rainy,-8.8,Visa Required
HKG,2025-02-28T09:12:00,Rainy,-5.4,Health Check
DXB,2025-08-24T14:52:00,Snowy,-6.2,Visa Required
MIA,2025-07-07T11:25:00,Sunny,-8.0,Visa Required
YUL,2025-09-30T00:32:00,Sunny,-6.6,None
DOH,2025-09-21T22:33:00,Sunny,6.2,Health Check
AMS,2024-10-08T23:23:00,Cloudy,32.7,Visa Required
CDG,2025-05-16T18:20:00,Rainy,2.9,Health Check
LAX,2025-11-28T06:42:00,Cloudy,-9.4,None
ORD,2025-02-05T07:06:00,Cloudy,28.2,Health Check
LAX,2024-02-25T13:40:00,Snowy,23.5,Visa Required
YVR,2024-08-11T22:40:00,Snowy,-1.5,Visa Required
SIN,2025-03-27T22:40:00,Cloudy,24.4,Visa Required
DEL,2025-10-17T22:31:00,Cloudy,-5.4,Visa Required
ORD,2025-12-13T11:34:00,Rainy,22.9,Health Check
HKG,2024-09-17T23:54:00,Snowy,14.7,Visa Required
YUL,2024-11-27T04:06:00,Cloudy,-9.0,None
PTY,2025-02-23T22:44:00,Snowy,3.5,Health Check
LHR,2024-09-07T19:18:00,Snowy,31.2,None
DXB,2024-04-17T07:34:00,Rainy,24.7,None
MEX,2025-03-02T10:36:00,Sunny,22.7,None
HKG,2025-10-04T19:05:00,Snowy,16.2,None
AMS,2024-10-31T23:27:00,Snowy,11.0,Visa Required
DEL,2025-04-10T08:11:00,Snowy,-0.6,Visa Required
AMS,2024-10-17T03:17:00,Sunny,-9.2,Visa Required
MIA,2024-01-11T05:14:00,Sunny,3.5,Health Check
CUN,2025-09-02T22:28:00,Snowy,27.8,Health Check
NRT,2024-04-13T17:53:00,Snowy,-4.5,Visa Required
FRA,2025-07-30T07:13:00,Cloudy,5.0,Visa Required
YYZ,2025-11-11T16:38:00,Cloudy,20.5,None
FRA,2024-03-10T01:05:00,Rainy,35.0,Visa Required
NRT,2025-02-12T14:33:00,Cloudy,3.6,Health Check
FRA,2025-06-06T05:27:00,Sunny,0.8,Health Check
MEX,2025-09-07T13:25:00,Snowy,18.0,None
DEL,2025-08-17T21:15:00,Cloudy,1.9,Visa Required
LAX,2025-04-06T07:07:00,Snowy,13.5,None
YYZ,2025-10-08T17:11:00,Sunny,28.4,Health Check
DOH,2025-05-08T22:42:00,Snowy,1.0,Health Check
FRA,2025-06-01T05:50:00,Snowy,1.0,Health Check
DOH,2025-06-15T01:27:00,Rainy,-6.5,Health Check
DEL,2024-08-19T07:04:00,Rainy,27.3,Visa Required
DOH,2025-01-07T03:12:00,Rainy,-2.1,None
SIN,2025-01-06T13:46:00,Rainy,12.2,Visa Required
DEL,2024-07-11T01:08:00,Snowy,12.4,Visa Required
MIA,2024-08-22T19:09:00,Snowy,16.8,Visa Required
LHR,2025-12-18T15:38:00,Rainy,1.6,Health Check
AMS,2024-09-23T17:49:00,Rainy,2.8,Visa Required
ORD,2025-02-26T23:39:00,Rainy,-7.2,Health Check
CDG,2024-03-25T10:03:00,Rainy,29.3,Visa Required
SJO,2025-06-04T08:13:00,Cloudy,23.9,Health Check
SJO,2024-06-03T02:31:00,Sunny,32.0,Visa Required
ORD,2025-02-26T11:35:00,Rainy,19.7,Health Check
SIN,2024-01-06T16:20:00,Snowy,6.1,None
MEX,2025-01-11T22:24:00,Cloudy,32.7,Visa Required
NRT,2024-11-14T07:03:00,Rainy,29.3,Health Check
YYZ,2024-07-24T13:50:00,Sunny,-6.4,Visa Required
HKG,2025-09-09T11:09:00,Sunny,25.8,Health Check
MEX,2025-02-21T17:54:00,Sunny,15.2,Visa Required
JFK,2024-03-03T01:19:00,Sunny,8.6,Health Check
YVR,2024-06-27T20:01:00,Rainy,16.6,None
JFK,2025-12-21T09:32:00,Snowy,26.8,None
CDG,2025-02-11T08:43:00,Rainy,32.2,Health Check
JFK,2024-10-10T09:38:00,Rainy,-3.4,Visa Required
CDG,2025-01-01T11:19:00,Cloudy,-6.4,Health Check
MEX,2025-03-03T12:19:00,Rainy,28.9,Visa Required
ORD,2025-06-22T10:51:00,Snowy,-5.0,None
FRA,2024-03-13T22:03:00,Rainy,-4.7,Health Check
YUL,2024-05-01T00:11:00,Cloudy,2.7,Health Check
NRT,2025-02-14T17:38:00,Snowy,15.0,Visa Required
JFK,2025-01-29T16:12:00,Rainy,7.2,None
HKG,2025-11-01T02:23:00,Sunny,20.7,Health Check
YYZ,2024-07-29T22:17:00,Cloudy,7.7,Health Check
YUL,2025-08-29T07:54:00,Cloudy,23.9,Visa Required
NRT,2025-09-19T01:21:00,Rainy,0.4,Visa Required
PTY,2025-08-15T18:47:00,Sunny,-2.8,Health Check
MEX,2025-02-11T11:15:00,Sunny,34.5,Visa Required
DEL,2024-05-11T23:58:00,Snowy,-4.1,Health Check
LHR,2024-06-02T04:02:00,Cloudy,-10.0,Health Check
MEX,2025-08-25T12:18:00,Cloudy,4.8,Visa Required
YUL,2025-10-27T18:16:00,Cloudy,-8.2,Health Check
DXB,2024-01-15T20:23:00,Rainy,2.1,Visa Required
SIN,2024-02-23T01:02:00,Sunny,6.3,Visa Required
AMS,2024-05-02T18:24:00,Cloudy,26.6,Health Check
HKG,2024-03-02T09:46:00,Snowy,32.4,Visa Required
PTY,2024-08-02T18:17:00,Sunny,-2.4,None
CUN,2024-10-28T14:04:00,Cloudy,33.0,Health Check
CDG,2025-08-02T20:07:00,Cloudy,-0.5,Visa Required
DXB,2024-04-06T07:14:00,Rainy,29.8,None
YYZ,2025-10-11T17:45:00,Rainy,27.2,Visa Required
MIA,2024-12-29T11:40:00,Rainy,25.1,Visa Required
HKG,2025-02-12T17:02:00,Snowy,-9.1,Visa Required
PTY,2025-05-08T08:54:00,Sunny,-7.8,Visa Required
YVR,2025-10-01T15:11:00,Snowy,-8.5,Health Check
YYZ,2025-11-22T12:36:00,Cloudy,12.5,Health Check
CDG,2025-07-04T19:33:00,Cloudy,9.0,Health Check
LAX,2025-03-27T03:57:00,Snowy,-7.8,Health Check
LAX,2025-08-22T07:55:00,Cloudy,2.5,Visa Required
AMS,2025-12-16T21:19:00,Rainy,10.7,Visa Required
YUL,2025-08-09T02:01:00,Cloudy,7.2,None
FRA,2024-12-17T13:36:00,Cloudy,26.0,Health Check
DOH,2025-02-11T07:13:00,Rainy,24.2,Health Check
YYZ,2025-02-12T03:51:00,Snowy,-4.0,None
SJO,2024-02-15T21:34:00,Rainy,-1.4,Visa Required
SJO,2025-05-03T10:06:00,Snowy,33.4,None
LAX,2024-08-21T08:21:00,Rainy,25.6,Health Check
LAX,2025-06-01T04:06:00,Rainy,15.5,None
FRA,2024-11-25T18:13:00,Snowy,1.8,Health Check
AMS,2024-06-30T09:47:00,Sunny,-6.1,Health Check
SJO,2024-10-05T14:42:00,Sunny,34.2,None
HKG,2024-11-04T16:55:00,Snowy,9.9,Health Check
MEX,2025-12-16T10:26:00,Cloudy,3.1,Health Check
LAX,2024-12-19T06:50:00,Snowy,32.0,Health Check
YVR,2025-06-23T02:27:00,Snowy,-3.0,Health Check
JFK,2025-06-20T01:57:00,Sunny,21.1,None
YYZ,2025-01-21T23:53:00,Cloudy,20.1,None
YVR,2024-08-31T23:56:00,Rainy,18.3,Health Check
YYZ,2025-04-03T06:11:00,Snowy,18.5,None
PTY,2025-05-01T20:07:00,Snowy,7.2,None
LAX,2025-10-18T18:32:00,Rainy,1.0,Health Check
NRT,2024-07-14T05:14:00,Rainy,9.4,None
LAX,2025-12-17T13:14:00,Cloudy,27.8,Health Check
YYZ,2025-11-24T05:07:00,Sunny,-7.8,None
YUL,2025-01-13T18:59:00,Rainy,29.0,Visa Required
JFK,2024-12-10T05:57:00,Sunny,22.0,Visa Required
DOH,2025-02-08T08:25:00,Snowy,25.9,Health Check
HKG,2025-04-10T04:48:00,Cloudy,23.7,Visa Required
FRA,2024-02-29T12:12:00,Snowy,-5.9,None
YVR,2024-02-27T01:42:00,Cloudy,26.5,Health Check
DXB,2025-07-28T14:07:00,Cloudy,-2.3,None
CDG,2025-11-09T17:27:00,Rainy,9.5,Visa Required
JFK,2024-07-22T11:01:00,Snowy,33.8,Health Check
FRA,2025-04-24T10:31:00,Rainy,-1.9,Visa Required
CDG,2025-03-13T04:16:00,Rainy,21.7,None
LAX,2024-07-04T06:47:00,Snowy,-5.7,Visa Required
DEL,2025-04-09T04:06:00,Snowy,25.4,Health Check
DEL,2025-12-21T21:45:00,Sunny,24.0,None
LAX,2024-03-05T02:53:00,Snowy,34.5,None
LHR,2024-11-28T17:49:00,Snowy,5.7,Health Check
MIA,2024-05-20T05:06:00,Cloudy,24.6,Health Check
LAX,2024-03-07T06:46:00,Sunny,-2.7,Visa Required
NRT,2024-10-13T06:50:00,Rainy,1.9,Visa Required
CDG,2025-01-26T08:32:00,Cloudy,29.8,Health Check
DOH,2025-11-20T17:36:00,Rainy,-7.0,Health Check
MEX,2024-04-25T20:27:00,Rainy,2.8,Visa Required
SIN,2025-06-17T01:01:00,Snowy,1.4,Visa Required
SIN,2024-07-21T09:53:00,Sunny,-3.6,None
YYZ,2025-05-18T14:32:00,Snowy,4.3,None
MIA,2025-02-05T04:24:00,Snowy,-3.6,Visa Required
JFK,2025-02-04T17:15:00,Cloudy,1.7,None
JFK,2025-12-15T18:16:00,Snowy,-3.2,None
DOH,2025-12-13T09:29:00,Cloudy,27.9,Health Check
MIA,2025-11-07T14:49:00,Sunny,31.5,Visa Required
DOH,2024-07-05T22:59:00,Sunny,7.7,Visa Required
HKG,2024-07-26T15:54:00,Snowy,9.6,Health Check
AMS,2025-11-30T05:44:00,Cloudy,-9.9,Visa Required
ORD,2025-04-09T02:25:00,Sunny,21.3,Visa Required
MIA,2024-11-18T03:59:00,Sunny,21.7,None
DEL,2024-06-23T22:23:00,Cloudy,17.4,Health Check
JFK,2024-09-13T20:58:00,Cloudy,30.0,Health Check
NRT,2024-01-13T06:26:00,Snowy,18.0,None
LHR,2025-08-16T12:37:00,Sunny,-0.3,None
DXB,2024-12-05T09:47:00,Snowy,4.8,Visa Required
SJO,2025-02-27T09:24:00,Rainy,30.4,Health Check
MEX,2024-02-17T03:45:00,Sunny,1.6,Health Check
SJO,2024-11-26T01:11:00,Cloudy,3.4,Visa Required
FRA,2025-10-27T10:01:00,Snowy,7.9,Visa Required
YYZ,2024-05-03T10:03:00,Snowy,-0.5,Visa Required
DXB,2025-06-01T03:53:00,Rainy,32.5,Health Check
ORD,2025-02-01T22:21:00,Rainy,-8.7,Health Check
HKG,2025-11-27T16:01:00,Cloudy,-2.0,Health Check
MEX,2024-09-27T12:43:00,Rainy,-9.8,None
DXB,2024-05-10T23:33:00,Cloudy,28.9,None
HKG,2025-03-29T16:56:00,Sunny,24.4,Health Check
YUL,2024-05-04T23:45:00,Sunny,24.3,None
SIN,2024-06-13T20:26:00,Sunny,8.8,Visa Required
MIA,2025-08-13T05:28:00,Rainy,-5.3,Visa Required
CUN,2024-03-01T22:42:00,Sunny,31.4,Health Check
YVR,2024-07-24T19:52:00,Snowy,19.0,Visa Required
LHR,2024-05-29T02:33:00,Sunny,3.7,None
FRA,2024-10-07T10:59:00,Snowy,6.0,Health Check
NRT,2024-04-15T01:37:00,Sunny,33.8,Visa Required
SIN,2025-08-01T19:28:00,Sunny,23.3,Health Check
AMS,2025-09-22T00:15:00,Cloudy,7.9,None
YYZ,2024-07-03T03:35:00,Rainy,-4.2,None
DXB,2025-09-10T06:39:00,Rainy,-2.9,Visa Required
AMS,2024-11-25T17:09:00,Sunny,9.8,Visa Required
SIN,2024-12-17T03:43:00,Snowy,9.5,Health Check
AMS,2025-05-26T06:46:00,Rainy,34.2,Visa Required
DOH,2024-09-17T09:39:00,Cloudy,3.3,None
PTY,2025-05-11T19:05:00,Sunny,2.4,Visa Required
DXB,2024-11-10T07:24:00,Cloudy,9.0,None
CDG,2025-10-13T08:23:00,Rainy,-7.7,Visa Required
LHR,2024-01-01T07:31:00,Snowy,16.5,None
CUN,2024-11-29T10:53:00,Snowy,31.0,Health Check
MIA,2024-07-05T23:49:00,Sunny,-4.7,Health Check
MEX,2025-04-01T23:13:00,Snowy,33.9,Health Check
DXB,2024-01-29T19:46:00,Rainy,-8.3,Visa Required
YUL,2024-07-25T04:19:00,Rainy,29.4,Visa Required
CUN,2024-10-14T08:20:00,Sunny,29.4,Visa Required
SIN,2025-10-01T03:10:00,Snowy,1.5,Health Check
YVR,2025-10-19T01:24:00,Snowy,34.0,Visa Required
DOH,2024-10-08T12:30:00,Snowy,-1.1,None
DOH,2025-05-08T03:50:00,Snowy,10.9,Health Check
NRT,2024-08-22T10:24:00,Sunny,-8.6,None
PTY,2025-01-17T13:27:00,Rainy,6.0,Health Check
ORD,2024-09-03T09:09:00,Snowy,9.3,Health Check
MIA,2025-12-12T02:25:00,Rainy,-8.0,None
FRA,2024-01-15T06:48:00,Sunny,18.7,Health Check
SIN,2025-08-23T11:55:00,Sunny,24.4,Health Check
SIN,2024-05-19T13:35:00,Snowy,17.8,Visa Required
HKG,2025-08-15T19:54:00,Sunny,33.0,None
SIN,2024-12-19T20:34:00,Cloudy,27.0,None
NRT,2025-11-06T06:14:00,Snowy,-6.8,Health Check
DXB,2025-04-16T16:36:00,Sunny,14.7,Visa Required
ORD,2024-04-25T01:11:00,Cloudy,10.8,Health Check
NRT,2024-06-15T11:48:00,Rainy,19.3,Visa Required
HKG,2024-11-11T19:17:00,Cloudy,24.2,Visa Required
YUL,2025-05-29T15:15:00,Cloudy,-1.3,Visa Required
MIA,2024-11-29T21:56:00,Sunny,21.6,None
HKG,2024-10-30T20:49:00,Snowy,28.0,Visa Required
FRA,2025-10-26T16:49:00,Rainy,30.0,Visa Required
YVR,2025-06-16T19:18:00,Cloudy,20.1,None
MIA,2025-08-01T15:47:00,Rainy,6.6,Visa Required
JFK,2025-11-09T12:59:00,Snowy,3.6,None
DXB,2024-08-02T03:06:00,Rainy,5.4,Health Check
CDG,2024-06-03T11:10:00,Cloudy,9.3,Health Check
YUL,2024-12-18T08:22:00,Sunny,5.8,Health Check
AMS,2024-09-25T13:23:00,Cloudy,27.7,Health Check
DEL,2024-03-17T13:36:00,Rainy,14.7,Health Check
LHR,2024-10-18T03:59:00,Snowy,8.5,Health Check
PTY,2025-11-17T19:10:00,Sunny,-2.3,None
DOH,2025-01-01T20:29:00,Sunny,-1.4,None
DEL,2025-02-20T13:13:00,Snowy,24.6,Health Check
SJO,2024-01-08T23:27:00,Sunny,-7.7,None
CDG,2025-08-08T05:45:00,Sunny,16.1,None
LAX,2024-02-08T13:40:00,Cloudy,13.6,None
DOH,2025-08-06T12:19:00,Snowy,26.2,None
MIA,2025-04-24T11:49:00,Snowy,15.4,None
