itineraryId,flightNumber,airline,destination,train,hotel,hotelPricePerNight,totalCost,travelDate
c22b034f-25f0-4df8-9718-52ec0414d5b7,F94174,Frontier Airlines,DXB,Train #123,Richardson and Sons Hotel,56.23,1185.26,2024-10-30T14:53:00
a317b64d-d36d-4c6b-8fa0-d6cca2a63ba7,VS1539,Virgin Atlantic,YUL,None,None,,1493.43,2025-07-19T23:18:00
31b890aa-11fa-4255-8efd-9ef7a8ae30fd,WN4823,Southwest Airlines,LAX,Train #123,"Glover, Johnson and Smith Hotel",98.3,1034.98,2025-12-01T20:02:00
9728444d-781d-45db-ae70-9973dae7fd4a,TA1207,"TACA International Airlines, S.A.",LAX,Train #123,"Merritt, Foster and Navarro Hotel",266.89,561.1,2025-01-05T17:15:00
5221c2ee-10ca-4baa-afdb-df8afb45d94c,TK7675,Turkish Airlines,LAX,Train #123,Webb LLC Hotel,173.3,313.41,2024-07-14T15:13:00
5f9700c2-757e-4886-8fd5-9855d0ba448b,LY6116,Norwegian Air UK Ltd,ORD,None,None,,374.83,2025-04-19T14:05:00
a1f30e27-aaaa-4220-98d0-65aa661f4c5b,NW4533,Northwest Airlines (became Delta),CUN,Train #456,Young Inc Hotel,350.05,938.64,2025-11-18T10:39:00
c228edcb-b49c-4deb-8ccf-d62eec271981,WN1130,Southwest Airlines,DEL,Train #123,None,,785.68,2025-09-15T14:53:00
4ae71814-d29c-44f1-aa18-223a91848031,AY7668,Finnair,DOH,Train #123,"Morales, Pierce and Thomas Hotel",371.98,543.98,2024-02-29T16:48:00
f1191dcb-a291-467a-918f-45ee5cb8b1bf,BA2196,British Airways,DOH,Train #123,Powell Inc Hotel,63.04,1458.75,2024-06-29T01:11:00
02aa096b-2d7a-40f1-9c6f-20c413c740fe,XP6763,Casino Express,MEX,Train #123,Hoffman-Jordan Hotel,138.15,335.46,2024-02-09T01:30:00
1ff52e14-b050-424b-afd0-49b6105352c6,SE527,XL Airways France,YYZ,Train #123,Wilcox-Garcia Hotel,489.3,1668.69,2025-07-01T09:36:00
c2e85ff6-0d7c-4ab6-aaa0-a81d2bf5d9b9,TZ7939,ATA Airlines,LAX,Train #456,None,,403.22,2025-06-14T04:18:00
32849c01-cff1-4726-b522-d8eba3e54829,CP4255,Compass Airlines,MEX,None,None,,289.67,2025-01-19T20:25:00
e2d3b727-55a8-4faf-9a17-f1ed546248b2,OH6405,Comair,CDG,None,"Silva, Richard and Warren Hotel",280.53,593.29,2024-03-01T05:33:00
779075c0-5034-4381-abed-8b453374fc76,CC6077,Air Atlanta Icelandic,LAX,None,"Brown, Price and Martin Hotel",269.4,551.22,2024-11-18T23:40:00
4d7f977f-a809-4158-b572-15b65d4f15da,NZ2590,Air New Zealand,LAX,None,Carson LLC Hotel,102.7,1388.92,2025-03-08T21:22:00
8551a0ed-dd1a-492a-8e01-ef1964853c86,CM9952,"COPA Airlines, Inc.",LHR,Train #123,None,,1307.15,2024-11-01T14:10:00
41e265b1-bc5b-483b-81eb-6f16a7a80653,XP5295,Xtra Airways,JFK,Train #123,"Wiley, Bryan and Wise Hotel",95.62,501.57,2025-05-05T04:30:00
a5d636a6-a3f2-47a7-a9e4-ce17806498ec,TZ4034,ATA Airlines,JFK,Train #123,"Rose, King and Taylor Hotel",430.44,645.78,2025-10-08T11:51:00
984d89ba-745a-4d1d-91bd-a6a3f301a162,LH2953,Lufthansa German Airlines,DOH,Train #123,Allen-Smith Hotel,476.51,1280.24,2025-09-07T20:48:00
ba2c12f2-c635-4f1c-bdfe-e18a4f763234,EZ2063,Evergreen International Airlines,MIA,Train #456,None,,418.85,2025-10-08T02:53:00
2aa5c532-ce97-46c0-98cd-51f878944e07,CP2010,Canadian Airlines,HKG,Train #123,Cobb PLC Hotel,417.67,620.16,2025-01-26T10:24:00
442b56e8-5876-4113-9a25-8cec3458d347,AB9155,Air Berlin,DEL,Train #123,Koch Inc Hotel,377.76,775.29,2025-11-08T20:38:00
80068a1c-34c6-4f1e-8282-e993179c45d4,OZ9843,Asiana Airlines,DXB,Train #456,Rogers Inc Hotel,160.45,914.75,2025-09-25T13:27:00
f59cae94-eaa7-4979-bd41-25a5663b45ae,BF7085,French Bee,CUN,Train #123,"Wilson, Lopez and Moore Hotel",116.5,606.63,2025-07-04T00:18:00
55131296-8390-476b-977c-ed87b9ff2d17,MQ414,"Envoy Air, Inc.",LAX,Train #123,Martinez-Griffin Hotel,386.33,659.82,2024-12-23T19:28:00
bdbe0c06-e68e-440a-a96d-2d8242eff341,Y42634,"Samsic Airport America, LLC",SIN,None,Glenn PLC Hotel,358.35,505.88,2025-01-24T01:05:00
7feab53e-36ff-4c89-a974-fe7597f53ac2,JL5636,Japan Airlines,AMS,None,None,,973.97,2024-03-15T08:57:00
0c865bb8-c9e7-4d66-ab51-4b9ba97cddbb,YX8729,Midwest Airlines,CUN,Train #456,Cooley and Sons Hotel,363.4,570.19,2025-06-15T12:51:00
c987788d-a2f2-4ba4-8279-476c676cefbc,AZ3430,ITA Airways,DEL,Train #123,Hill-Knight Hotel,415.37,1190.79,2024-08-21T11:00:00
8746f607-e505-4f80-8142-32184a64bcbf,DH1376,Independence Air,LAX,Train #456,None,,555.15,2025-09-21T02:25:00
93be1a72-7a2a-453a-b680-acb26647c4ec,DL6643,Delta Air Lines,PTY,Train #123,None,,858.72,2024-04-13T22:09:00
f157b15a-7a5a-4293-b8fa-9c46adec90dd,N75629,National Airlines,CDG,Train #123,Flowers-Kelly Hotel,226.58,1283.78,2025-03-23T17:56:00
2107b163-0828-4677-93c9-dbfff32f6328,AF3574,Air France,MIA,None,None,,363.7,2025-08-25T03:00:00
f87922df-86cf-4f51-8269-3a4893fc1288,XJ4996,Mesaba Airlines,LAX,None,None,,422.97,2024-11-17T13:12:00
b6d5adb8-f6a8-4656-aa96-b0972ac4ffad,BBB503,Sports Jet,AMS,None,"Le, Oliver and Neal Hotel",268.02,1565.13,2024-04-12T13:23:00
7b0b1c33-6021-4bb8-aeb2-b2ea0dd54c20,NK809,Pacific Aviation,LHR,Train #456,None,,492.77,2025-05-23T06:56:00
5985fdfc-26d3-4517-b1e5-9efb536264d6,QX8768,Horizon Air,YVR,Train #456,None,,1382.37,2024-09-06T12:29:00
a53ca81e-bf5c-4505-a60f-dcc0875a2ab7,AZ4377,ITA Airways,LAX,None,"Lopez, Thompson and Riley Hotel",258.13,1718.32,2025-02-03T16:22:00
d6459515-e20a-4f6c-b1d7-71bfe4af6765,AX5460,Trans States Airlines,MEX,Train #123,None,,1263.08,2024-05-08T22:39:00
48908900-e1cb-449e-b0a5-fb5922581df8,LX926,Trego Dugan Aviation,CUN,Train #456,Jones Inc Hotel,448.03,651.95,2025-01-23T15:23:00
1ec8032c-ce68-46e1-8ece-8477b146ef71,WN498,Southwest Airlines,LAX,None,Young-Baker Hotel,239.82,438.4,2025-06-29T21:13:00
65b725ed-66e4-444d-a95e-fcb793954927,Y47516,Volaris Airlines,CUN,None,Richards PLC Hotel,490.25,678.97,2025-10-23T07:17:00
b1553130-6917-468c-b2c4-f10a29693559,AI4460,Air India Limited,LHR,None,Gonzalez Ltd Hotel,214.71,418.46,2024-09-25T01:09:00
d0812ad3-afae-4482-a760-e226bb94d672,HA6412,Hawaiian Airlines,HKG,Train #123,Rivers-Tucker Hotel,118.85,1198.88,2025-04-29T15:53:00
f6205adc-6639-42d1-8b3f-375da4ae3b37,N77132,National Airlines,DOH,Train #456,Chapman Group Hotel,284.88,1506.36,2024-03-11T11:41:00
1368c5c3-8dd5-4ae0-8431-51d20d12695c,CC3380,Aeroflot Russian International Airlines,HKG,Train #456,None,,1405.3,2025-06-15T11:39:00
f394b83b-453c-4f7d-9c55-bf93cd3852d9,WO5660,World Airways,AMS,Train #456,None,,301.34,2024-01-12T02:15:00
c742eb63-4f13-450b-824c-0d7282ed7fc3,OH3869,Comair,HKG,Train #456,None,,155.18,2024-04-29T15:48:00
ca1a1596-1c75-446b-8804-c5d8c88d4761,NW4721,Northwest Airlines (became Delta),LAX,None,None,,643.12,2024-06-09T23:54:00
161dd179-77b9-41ac-beab-ad95ec952583,WN4839,Southwest Airlines,LAX,None,None,,432.32,2024-11-12T14:37:00
fe7e754d-d378-4839-bfa0-9df5f563e098,HQ526,Harmony Airways,MIA,Train #123,Smith-Roberts Hotel,99.07,1175.27,2024-12-17T13:56:00
00f59c48-5324-43c9-8902-31afc8458922,VX8044,Virgin America,MEX,Train #456,Houston-Espinoza Hotel,267.11,752.52,2025-11-28T21:21:00
1ee1e79a-edf0-4e1b-a6ee-f8b7c2e89233,QK8148,Jazz Aviation,YVR,None,Mckenzie PLC Hotel,330.85,783.14,2025-02-08T02:25:00
41e881a7-e569-4dba-b871-cf6d86b2011b,SE607,XL Airways France,SJO,Train #123,None,,1399.63,2025-08-10T11:23:00
ea26ef2f-6393-490c-b458-bcc6567b9a7a,BBB9547,BelAir Airlines,YYZ,None,Johnson-Morris Hotel,436.31,604.98,2025-02-20T00:29:00
ee8bf226-7e3a-47ce-b345-941be5467dd9,FI9443,Icelandair EHF,LAX,None,Rodriguez and Sons Hotel,388.67,1216.74,2025-10-22T21:42:00
b1e7bcde-4baa-4de2-8efb-a3957a2b1faf,DP8416,Air 2000,LAX,Train #456,None,,571.08,2024-02-23T00:53:00
f7bc9a82-be9a-4529-8444-eda3c1f018a3,EK2904,Emirates,YVR,Train #456,"Browning, Page and Johnson Hotel",186.08,567.57,2024-04-01T05:26:00
273b44fe-cffe-4e88-8ac7-e2a09f254b64,EK9918,Emirates,YUL,Train #123,None,,130.35,2024-02-28T13:01:00
3a6e8f8b-f3c0-47fd-81bb-737ed617f653,JX7859,Starlux Airlines Co. LTD,DOH,Train #456,"Guerrero, Lopez and Carrillo Hotel",331.83,1902.93,2024-02-14T20:57:00
c56ac77a-d292-4131-9312-946fc2a4ff0e,DL4608,Delta Air Lines,ORD,None,Murray-Smith Hotel,158.06,1420.6,2024-09-30T14:59:00
5a916a40-486c-4495-accb-6f52ab36c460,PE8628,Air Europe,SJO,Train #123,None,,818.8,2024-03-01T11:52:00
4943bb30-92c6-4540-9214-fad6bb56ec15,NJ2588,Vanguard Airlines,LAX,Train #456,None,,1303.85,2025-03-27T11:22:00
26043885-0c10-4c4f-a99e-ace49b033523,AY813,Finnair,LAX,Train #456,"Jones, Carter and Baldwin Hotel",256.51,1541.82,2025-05-18T20:49:00
5a4ef642-fc56-4877-b6b1-1062d5bae93b,IB9951,Iberia,DXB,None,None,,294.31,2024-06-01T08:17:00
30116692-591f-4932-8083-cf96e1287b24,FJ4845,Air Pacific Limited dba Fiji Airways,SIN,Train #456,Anderson-Bradshaw Hotel,308.52,1327.32,2025-02-04T07:46:00
3731b19f-d6d7-485d-acce-56e8c1690a33,CZ5339,China Southern,DEL,Train #123,Robbins and Sons Hotel,231.84,1616.17,2024-02-23T18:33:00
8a97e419-d2c2-4159-8a2d-71c398800979,QK6848,Jazz Aviation,ORD,Train #456,Martin-Jimenez Hotel,311.07,1169.6,2025-04-04T02:53:00
62c1c686-217e-42da-947c-45dfe155b491,SK5101,SAS Airlines,LAX,Train #123,None,,654.74,2024-01-20T19:52:00
22ca07cf-4878-4bb0-8628-12e5f4f3ebbc,F85207,"Flair Airlines, Ltd.",LHR,None,None,,169.81,2025-09-05T00:36:00
808e51ca-6ab2-4fa7-9486-c3582a2be44f,Y4322,Pacific Aviation,HKG,Train #456,"Jimenez, Sanchez and Paul Hotel",268.12,812.03,2025-06-10T16:53:00
d7467794-d4a3-4424-8726-82cfea6993ec,CX8062,Allegro Airlines,LAX,Train #123,Mclean Group Hotel,191.96,1144.7,2024-02-07T19:42:00
c6ac7e3e-6648-4893-a6c5-2c987d3e3d1a,CM6825,"COPA Airlines, Inc.",CUN,Train #123,Jenkins-Martin Hotel,396.81,739.62,2025-12-19T09:02:00
4548cfec-9633-46f2-9a8f-ff090caefd6c,Y41392,Volaris Airlines,YUL,Train #456,None,,1341.09,2025-11-02T03:07:00
793a04d1-09aa-4ca3-9dc6-0400938240b6,ZW2535,Air Wisconsin,DXB,Train #456,Brown and Sons Hotel,78.25,1529.95,2024-09-13T22:43:00
cfe5bda5-eee5-4006-9e9c-b6d9e017a58e,GL4928,Miami Air International,MIA,Train #123,"Robles, Harris and Webb Hotel",368.75,752.67,2024-11-22T05:28:00
9c3e0edd-5658-4a00-9197-b4b30f03b6c7,FI7276,Icelandair (Inactive),DOH,Train #123,Gilbert and Sons Hotel,165.04,356.18,2025-08-13T06:34:00
d47fcade-ae89-4172-b139-3eca75acdff2,5Y6025,Sports Jet,YVR,Train #456,"Burton, Campos and Espinoza Hotel",209.73,419.6,2024-01-06T22:46:00
96c8e2c9-913b-4a58-8e83-f33dc2e3bc67,MX9552,Mexicana Airlines,LHR,Train #123,None,,235.6,2025-08-15T02:56:00
82c6e608-cda3-47a9-a1d2-2c2ea059924d,EV3880,Atlantic Southeast Airlines,CUN,None,Duarte-Davis Hotel,325.93,1109.49,2024-09-24T00:25:00
bdc5cd1d-1f4e-4c9e-abc4-b13a04f28871,EI8499,"Aer Lingus, Ltd.",YVR,None,None,,1352.83,2025-09-21T23:59:00
b2fead4e-e29d-4001-84e1-8a1bf43daf9e,MQ6923,"Envoy Air, Inc.",LAX,Train #123,"Gonzalez, Summers and Poole Hotel",315.01,1620.65,2024-10-05T19:48:00
5c8654be-54f1-46be-9cad-c60513e3d426,AS5061,Alaska Airlines,LAX,Train #123,Bell-James Hotel,310.53,1727.53,2025-05-03T02:30:00
7cb6f179-7108-48cd-b4da-100089a76dea,BA9172,British Airways,CDG,Train #456,Ryan Ltd Hotel,266.01,536.62,2025-07-04T10:31:00
9f67dc81-db7b-4af3-80e0-e12e48f68444,JX197,Starlux Airlines Co. LTD,LAX,Train #456,None,,108.78,2025-12-10T17:21:00
64e599e7-58b8-4ca2-9df3-917ea61e2beb,SS4106,Corsairfly,MEX,None,None,,1426.84,2024-02-17T10:16:00
46dcff9d-fcca-44da-bdc6-dadbbf0a35a4,OZ3181,Asiana Airlines,YYZ,None,"Collins, Lane and Scott Hotel",244.9,474.86,2024-02-10T23:12:00
28b114a9-e404-4f93-8cea-1b86e2e3f8b9,AA9461,American Airlines,AMS,Train #123,"Brown, Kelly and Smith Hotel",179.06,347.23,2025-08-30T16:41:00
8b033327-f616-4397-be58-035b1b1daa4a,YP7826,"Air Premia, Inc.",FRA,Train #123,"Matthews, Swanson and Coleman Hotel",305.15,725.62,2024-05-03T07:58:00
2f76c8c6-84ad-4235-9247-fc99bb847ace,MU1034,Allegro Airlines,NRT,Train #123,Newman-Jackson Hotel,140.89,1158.34,2024-01-16T05:54:00
e7d8f432-6b5e-4f7d-8cb3-0d762bcc60c8,PE4238,Air Europe,LAX,Train #123,"Todd, Hill and Horne Hotel",344.82,661.81,2024-10-23T20:14:00
dfd208f1-f937-492e-98f5-e11e70619f74,TA3188,"TACA International Airlines, S.A.",LAX,Train #456,Dunn-Wells Hotel,119.82,1523.71,2025-09-01T03:40:00
f19e7ccd-7c50-433b-886f-8735b90f9690,Z02816,"Norse Atlantic UK, Ltd.",FRA,Train #123,None,,1037.36,2025-12-31T07:32:00
d3e56955-3012-4672-9555-d650392eb76a,PD9845,Porter Airlines (Canada) Limited,CDG,Train #456,None,,303.22,2024-10-18T00:32:00
40bc4a10-067c-4263-a64b-7bcdbfa20707,MG8849,Servisair,LAX,Train #456,"Higgins, Smith and Mitchell Hotel",486.18,767.37,2025-04-15T22:30:00
b7022dd9-9d2c-45fa-baa1-40e7c0e0695a,EI5366,"China Eastern Airlines, Inc",DOH,None,Mcintyre-Klein Hotel,302.92,891.4,2025-01-29T23:33:00
d44d83d2-1ac0-4f19-a481-c8cc5b017d11,MU2378,China Eastern,CDG,Train #123,None,,909.52,2025-10-01T14:47:00
7636d825-f045-435e-931a-bb5c1d8b995f,SK8188,SAS Airlines,YUL,None,Franco Group Hotel,497.0,916.68,2024-08-03T10:53:00
dbbbcd1d-16c4-4678-963b-b433308253cb,RD1754,Ryan International Airlines,PTY,Train #456,None,,985.28,2024-12-08T07:32:00
445c9e82-4516-42b6-9911-b242468a4217,QX4236,Horizon Air,NRT,Train #123,None,,1026.6,2025-08-16T07:13:00
1d38766f-9bfe-44e4-acc2-65afbd65b361,SE367,XL Airways France,YUL,Train #123,"Payne, Jones and Phillips Hotel",415.3,1847.94,2025-01-27T13:11:00
9cf73876-be92-4d68-bd2b-04dbe7a3b230,EK9659,Emirates,JFK,None,None,,1031.09,2025-03-12T11:58:00
e4cfe7ad-1cbd-4fe1-be51-1de4b1e3de3e,BBB9486,BelAir Airlines,LHR,Train #123,Holloway-Murphy Hotel,489.61,2023.41,2025-10-12T14:40:00
e90192d5-a1dc-4343-83a2-3374f04c1b2f,WW5533,WOW Air,YYZ,Train #123,None,,203.78,2024-09-30T09:53:00
c71cadb1-fbad-488f-b622-3d2f70e0d228,S62861,Star Air,LAX,None,Fox Inc Hotel,345.36,584.66,2025-01-02T14:15:00
40e11c84-099f-4f9e-9ef9-2408688c275c,QK2140,Jazz Aviation,DEL,None,None,,354.31,2025-03-21T19:27:00
338408cd-a1b8-441c-95e3-192ba6992901,BF1159,French Bee,NRT,None,Mcgrath PLC Hotel,475.84,1951.39,2025-02-12T13:48:00
80e2a448-071a-47d7-a1e5-66de87f9262e,AZ1522,Alitalia Airlines,CUN,None,Larson-Cowan Hotel,415.0,618.87,2024-04-30T21:39:00
9d45ec89-aa01-4f81-9724-340a70fdbc06,YP1133,"Air Premia, Inc.",FRA,Train #456,"Mccoy, Hurst and Taylor Hotel",92.06,1069.27,2025-09-02T12:54:00
54df5137-c822-4f21-aaee-b71bdfa9a858,PR2335,Philippine Airlines,PTY,None,Mcbride-Klein Hotel,461.67,756.73,2024-02-16T00:44:00
bee615ff-0b91-47f3-830e-4c609082f5af,CX1318,Cathay Pacific,DOH,Train #123,"Chavez, Campbell and Lloyd Hotel",207.98,1196.09,2024-03-27T07:47:00
fd70e644-b2e8-4c26-ad81-f7b9b880dbc1,XE9707,ExpressJet Airlines,LAX,None,None,,632.96,2025-12-10T05:33:00
b6fab5a1-1dbb-41c6-84ca-68cfafd99c9d,US288,US Airways,DOH,Train #456,Orozco PLC Hotel,176.24,554.6,2024-11-19T13:34:00
9f8208ea-b5bb-4593-b2fc-0e5ecf9f0425,IB1535,Iberia,LHR,None,Johnston-Cruz Hotel,407.75,1235.71,2025-03-07T14:42:00
fb773c74-890e-43a2-855c-a77e03ee8206,SR4208,Swissair,PTY,Train #123,Munoz Ltd Hotel,324.93,1502.92,2024-09-12T18:07:00
4d29070e-f004-47ac-8587-d7a172659591,LY945,Norwegian Air UK Ltd,DXB,None,None,,1067.46,2025-10-15T23:34:00
