userId,age,nationality,budgetPreference,cabinPreference,frequentRegions,bookingHistory
fb7437ae-c047-4625-b10c-84be1dde3e8e,59,JP,Low Fare,Premium Economy,"['Central America', 'US', 'Europe']","[{'flightNumber': 'HQ6343', 'date': '2025-05-04T09:30:00'}, {'flightNumber': 'XJ1505', 'date': '2025-07-23T04:20:00'}, {'flightNumber': 'TZ1678', 'date': '2025-12-16T11:09:00'}]"
e9734bda-fe65-4937-bd35-c4b9a7db3d22,38,CY,Other,Economy,['Mexico'],"[{'flightNumber': 'BA7369', 'date': '2025-02-06T15:06:00'}, {'flightNumber': 'SK923', 'date': '2025-11-23T12:46:00'}, {'flightNumber': 'OH8685', 'date': '2025-12-05T10:17:00'}, {'flightNumber': 'TS605', 'date': '2025-12-04T09:24:00'}, {'flightNumber': 'MT2183', 'date': '2025-01-24T13:03:00'}]"
811fed5a-f863-4bd0-8c79-7b911cefec25,18,BG,Low Fare,Business,"['Middle East', 'US', 'Australia / Oceania']","[{'flightNumber': 'EV971', 'date': '2024-07-11T15:53:00'}, {'flightNumber': 'WW5365', 'date': '2024-04-03T00:23:00'}, {'flightNumber': 'CZ4740', 'date': '2025-09-11T01:40:00'}, {'flightNumber': 'SQ6953', 'date': '2025-04-15T12:37:00'}, {'flightNumber': 'FL5415', 'date': '2024-09-26T05:49:00'}]"
dc7fce8a-a0cc-450b-9b1d-f2baefc5d31d,23,IS,Other,Premium Economy,"['Middle East', 'Central America', 'Europe']","[{'flightNumber': 'NH4108', 'date': '2024-12-01T02:55:00'}]"
7f12cd92-6dc5-4e20-a329-ae07a229e743,69,AE,Other,Business,"['South America', 'Canada']","[{'flightNumber': 'DP7216', 'date': '2024-03-06T23:28:00'}, {'flightNumber': 'GL1226', 'date': '2024-03-15T12:19:00'}, {'flightNumber': '5Y2748', 'date': '2025-02-20T21:32:00'}]"
9098dc79-4b11-4607-8576-b6687066c10f,55,AR,Other,Economy,"['Australia / Oceania', 'South America']",[]
ef397f70-1ee9-40e8-bd74-92d5bc6d8cb9,59,NR,Other,Business,"['Australia / Oceania', 'Europe', 'Central America']","[{'flightNumber': '5Y8086', 'date': '2025-03-24T09:28:00'}, {'flightNumber': 'XP3830', 'date': '2024-12-08T11:07:00'}, {'flightNumber': 'NJ7919', 'date': '2025-02-06T03:32:00'}, {'flightNumber': 'TS3833', 'date': '2024-04-10T05:03:00'}, {'flightNumber': 'LP7036', 'date': '2025-11-02T00:47:00'}]"
3434c04b-d658-4552-8d43-300062a37fa4,57,AZ,Low Fare,Premium Economy,"['Central America', 'US']","[{'flightNumber': 'DP8641', 'date': '2025-01-09T07:54:00'}, {'flightNumber': 'US3228', 'date': '2025-06-29T01:52:00'}]"
1557a411-fd63-47cf-a36d-9a4d97af1378,45,AL,Other,Economy,"['Central America', 'Australia / Oceania', 'Asia']","[{'flightNumber': 'NK4517', 'date': '2025-04-15T18:52:00'}]"
677b7f17-5937-4462-aa93-c61676caaf9a,41,RW,Other,Business,['Middle East'],"[{'flightNumber': 'CA4806', 'date': '2024-05-25T23:44:00'}, {'flightNumber': 'RW6280', 'date': '2024-06-29T03:12:00'}]"
a5b7d6e4-eab1-49a8-95b3-b8c6ba4b9eb8,28,PY,Other,Economy,"['South America', 'Canada']",[]
30045f21-9ac8-41a5-83d2-05398857ec4e,38,CA,Other,Economy,"['Central America', 'Europe']","[{'flightNumber': 'PE9454', 'date': '2024-05-30T20:39:00'}, {'flightNumber': 'AZ7572', 'date': '2024-12-01T06:37:00'}, {'flightNumber': 'TW6415', 'date': '2024-05-10T21:04:00'}, {'flightNumber': 'QK7392', 'date': '2024-12-23T19:07:00'}]"
6802cb09-f01b-4c71-840f-e31de05ecad3,33,GA,Other,Business,"['Asia', 'Middle East']","[{'flightNumber': 'CZ4619', 'date': '2024-10-26T23:14:00'}, {'flightNumber': 'LY5816', 'date': '2025-12-17T18:55:00'}, {'flightNumber': 'LY8934', 'date': '2025-03-08T12:37:00'}]"
1a01f6da-4bb0-4053-8a95-e83e6731f74a,76,LK,Other,Economy,['Mexico'],"[{'flightNumber': 'AF2031', 'date': '2024-05-06T03:48:00'}]"
ddaa4187-b706-4687-847f-d3e3a0b238f9,29,HR,Other,Business,['Middle East'],"[{'flightNumber': 'PD5531', 'date': '2025-08-04T15:17:00'}, {'flightNumber': 'TK8441', 'date': '2024-04-02T03:22:00'}]"
1e892e01-5cdf-4462-8020-de5680653842,79,ID,Low Fare,Economy,"['Central America', 'Europe']","[{'flightNumber': 'F93684', 'date': '2024-07-24T00:11:00'}, {'flightNumber': 'CP5559', 'date': '2025-02-19T11:03:00'}, {'flightNumber': 'PD362', 'date': '2024-05-15T19:22:00'}, {'flightNumber': 'Y46541', 'date': '2024-03-15T17:48:00'}, {'flightNumber': 'XE3246', 'date': '2025-08-27T01:33:00'}]"
87b2d619-1052-44ba-bfe7-c9547c98f794,80,CY,Other,Economy,"['Central America', 'Canada', 'Middle East']","[{'flightNumber': 'FI2120', 'date': '2024-02-21T03:06:00'}, {'flightNumber': 'LH2580', 'date': '2024-06-07T00:26:00'}, {'flightNumber': 'QK2273', 'date': '2024-11-16T23:21:00'}]"
3a1d202c-95f7-4bbc-8ddd-0898e11c7ac3,56,BD,Other,Premium Economy,"['Middle East', 'Mexico', 'Australia / Oceania']","[{'flightNumber': 'OO3175', 'date': '2024-06-26T10:02:00'}, {'flightNumber': 'NZ1972', 'date': '2024-06-13T12:01:00'}]"
326e2939-d942-4091-9fdf-3eb623504c08,29,BO,Other,Business,"['Mexico', 'Central America']","[{'flightNumber': 'B6983', 'date': '2024-01-26T12:12:00'}, {'flightNumber': 'CP3243', 'date': '2025-10-05T04:21:00'}, {'flightNumber': 'XP590', 'date': '2024-08-04T00:08:00'}, {'flightNumber': 'EY2940', 'date': '2024-03-19T13:13:00'}, {'flightNumber': 'CP8716', 'date': '2024-05-18T08:45:00'}]"
a2d14713-3a05-4a85-9f49-f15bd08f845a,66,JP,Other,Economy,"['Central America', 'South America']","[{'flightNumber': 'ZW5081', 'date': '2025-04-16T15:45:00'}]"
d1ba5e0d-c272-45c5-b309-b09128c2a331,51,EC,Low Fare,Economy,"['Central America', 'Middle East']","[{'flightNumber': 'Z08088', 'date': '2024-12-07T03:46:00'}, {'flightNumber': 'CA8150', 'date': '2025-07-07T18:26:00'}]"
0b222636-a83b-441f-b28f-60f04758d77c,54,LY,Other,Economy,"['Europe', 'US']","[{'flightNumber': 'A8942', 'date': '2025-02-13T00:05:00'}, {'flightNumber': 'PR8493', 'date': '2025-11-15T01:57:00'}]"
0669b086-7d36-4f81-b2a6-aceaa1c5b99a,27,US,Low Fare,Business,"['Australia / Oceania', 'Europe']","[{'flightNumber': 'SQ8149', 'date': '2024-05-24T09:35:00'}, {'flightNumber': 'OO6204', 'date': '2025-08-28T02:44:00'}]"
01eff906-fecf-4319-ae7f-56a7e4db85f9,67,HR,Low Fare,Premium Economy,"['Central America', 'Canada', 'Mexico']",[]
a229e5fc-3782-4053-8e37-9433fbced1b6,25,US,Low Fare,Business,"['Middle East', 'South America', 'Mexico']","[{'flightNumber': 'G41294', 'date': '2025-01-15T09:38:00'}, {'flightNumber': 'VX8116', 'date': '2024-01-17T01:35:00'}, {'flightNumber': 'CP9537', 'date': '2025-07-06T13:49:00'}, {'flightNumber': 'SS3732', 'date': '2025-07-16T14:50:00'}, {'flightNumber': 'CC2758', 'date': '2024-02-01T13:53:00'}]"
1f251108-79c6-45f0-9126-79c16f684db6,51,GT,Other,Economy,['Central America'],"[{'flightNumber': 'MX2747', 'date': '2025-02-23T10:52:00'}, {'flightNumber': 'LP2277', 'date': '2024-02-06T22:28:00'}, {'flightNumber': 'AZ3397', 'date': '2024-06-10T07:13:00'}, {'flightNumber': 'OY8401', 'date': '2025-03-23T20:16:00'}]"
8b30e49a-64ae-4418-93b8-1419d2d9cfee,61,PL,Other,Economy,"['Mexico', 'Central America']","[{'flightNumber': 'F84894', 'date': '2024-05-22T09:46:00'}, {'flightNumber': 'TW238', 'date': '2025-01-29T10:00:00'}, {'flightNumber': 'SR843', 'date': '2025-09-17T06:45:00'}]"
c372e4a8-e881-4309-a5e7-5dace4394bc7,39,BH,Other,Business,"['Australia / Oceania', 'US', 'Canada']","[{'flightNumber': 'NJ9928', 'date': '2024-01-27T03:24:00'}, {'flightNumber': 'CZ3341', 'date': '2024-10-05T05:20:00'}, {'flightNumber': 'SR9986', 'date': '2025-04-14T00:24:00'}, {'flightNumber': 'AA5134', 'date': '2025-11-18T17:46:00'}]"
79b33239-eabf-4060-9b34-3836697b9575,61,MT,Other,Economy,"['Asia', 'Central America']",[]
48cd06b5-1650-40b2-816d-5f67c3f2b07b,80,GQ,Low Fare,Economy,['Europe'],"[{'flightNumber': 'LY8452', 'date': '2025-04-15T21:52:00'}, {'flightNumber': 'OO7979', 'date': '2024-07-20T10:34:00'}, {'flightNumber': 'AZ2786', 'date': '2024-08-28T19:53:00'}, {'flightNumber': 'LY423', 'date': '2024-09-13T10:40:00'}]"
3e93ee5e-6d7a-41a4-be78-8fa0abc9bfe7,44,VC,Low Fare,Business,"['Australia / Oceania', 'Central America']","[{'flightNumber': 'CI8388', 'date': '2024-07-13T23:27:00'}, {'flightNumber': 'MQ2941', 'date': '2024-08-19T23:48:00'}, {'flightNumber': 'QF6560', 'date': '2025-09-06T10:44:00'}, {'flightNumber': 'G48602', 'date': '2024-04-20T17:03:00'}, {'flightNumber': 'AX103', 'date': '2025-03-28T22:57:00'}]"
c059457e-09b5-4c3c-82a8-7369d604849b,64,SL,Low Fare,Economy,"['South America', 'US', 'Mexico']","[{'flightNumber': 'LH5090', 'date': '2024-03-21T01:14:00'}]"
1041015e-6ce6-4140-942a-87c2d2975af4,70,MZ,Low Fare,Business,"['Asia', 'Canada', 'Australia / Oceania']","[{'flightNumber': 'Y41097', 'date': '2025-04-17T19:16:00'}, {'flightNumber': 'VX8592', 'date': '2025-06-19T21:36:00'}, {'flightNumber': 'XP7066', 'date': '2025-04-20T18:49:00'}, {'flightNumber': 'OY5483', 'date': '2025-06-29T23:18:00'}]"
5c7ea191-5d0b-4a7f-85b0-daf20a9f5a98,40,BN,Low Fare,Premium Economy,"['Europe', 'South America']","[{'flightNumber': 'QK8971', 'date': '2025-08-09T11:53:00'}]"
c7ab852d-0c1b-44d0-b7a4-280390628a7a,40,EE,Low Fare,Premium Economy,"['Mexico', 'South America']","[{'flightNumber': 'EK782', 'date': '2025-03-12T21:58:00'}, {'flightNumber': 'QK1142', 'date': '2024-07-08T00:08:00'}]"
c2d01a8c-84b6-4965-8049-f00df0ec6cbc,48,ML,Low Fare,Economy,"['Europe', 'Middle East', 'Asia']","[{'flightNumber': 'ZW6937', 'date': '2024-09-03T11:27:00'}, {'flightNumber': 'AZ1402', 'date': '2024-06-13T19:10:00'}, {'flightNumber': 'QF4671', 'date': '2024-05-10T05:20:00'}, {'flightNumber': 'KL1930', 'date': '2024-08-26T05:06:00'}]"
bedcc4a4-31d1-42f0-9956-16d6f6488e99,70,PL,Other,Business,"['Canada', 'Australia / Oceania']",[]
1f7add42-3773-4006-8256-89f3853efcfd,52,ID,Other,Premium Economy,['South America'],"[{'flightNumber': 'XP6037', 'date': '2024-12-28T00:42:00'}, {'flightNumber': 'XP2646', 'date': '2024-02-07T04:40:00'}]"
76d1143c-726f-47e5-ac6b-cbbe51a6f9d5,37,SB,Other,Economy,"['Central America', 'South America', 'Asia']","[{'flightNumber': 'VS6858', 'date': '2024-05-24T07:57:00'}, {'flightNumber': 'HQ5638', 'date': '2024-10-18T16:50:00'}, {'flightNumber': 'ZW9826', 'date': '2024-10-20T03:07:00'}, {'flightNumber': 'AZ816', 'date': '2025-07-29T20:31:00'}, {'flightNumber': 'F91887', 'date': '2024-02-27T16:24:00'}]"
d7e6d7c5-db63-4b0b-b250-1f926ab1b826,45,SE,Other,Business,"['Europe', 'Mexico', 'Asia']","[{'flightNumber': 'A83376', 'date': '2025-05-07T21:38:00'}]"
8c1e46a9-6adc-4276-a596-976bee83bb8d,51,MC,Other,Business,"['Australia / Oceania', 'US']","[{'flightNumber': 'RD4733', 'date': '2025-08-03T10:09:00'}]"
5eb34ba2-0132-4f61-8fd1-687a37e53c8a,56,CV,Other,Premium Economy,"['Australia / Oceania', 'US']","[{'flightNumber': 'QX1560', 'date': '2025-04-18T02:06:00'}, {'flightNumber': 'FI4298', 'date': '2024-02-08T10:20:00'}]"
5e9a6b68-1387-4b8c-bae7-f1082a9d7120,39,DE,Other,Economy,['Asia'],[]
bb6dc360-f7b0-4170-8e7b-f23980a220d9,49,KW,Low Fare,Business,"['Europe', 'Middle East']","[{'flightNumber': 'MQ3101', 'date': '2025-06-03T10:02:00'}, {'flightNumber': 'AY3452', 'date': '2025-04-12T05:27:00'}, {'flightNumber': 'TP5608', 'date': '2025-11-21T17:19:00'}, {'flightNumber': 'S66479', 'date': '2024-08-16T06:24:00'}]"
8e9e1b2f-d854-4b4e-b9ea-73ce57cb059c,43,TW,Low Fare,Economy,"['Canada', 'Middle East']","[{'flightNumber': 'CA4488', 'date': '2024-11-10T17:06:00'}, {'flightNumber': 'YX150', 'date': '2024-03-02T11:55:00'}, {'flightNumber': 'TW6327', 'date': '2025-02-27T21:29:00'}, {'flightNumber': 'RD883', 'date': '2024-09-23T23:44:00'}, {'flightNumber': '9W2387', 'date': '2025-05-18T03:13:00'}]"
b9d6fbff-bc35-4ca1-817a-abaf347748b8,35,DM,Low Fare,Business,"['South America', 'Central America', 'Australia / Oceania']","[{'flightNumber': 'AM5395', 'date': '2025-09-20T10:08:00'}]"
7ad8bbd0-a03a-4fe0-bcb0-276da7328ee6,32,LC,Low Fare,Premium Economy,"['Mexico', 'Canada', 'South America']","[{'flightNumber': 'RW4365', 'date': '2024-11-14T20:02:00'}, {'flightNumber': 'LY5177', 'date': '2025-12-02T10:22:00'}, {'flightNumber': 'XP3786', 'date': '2025-03-22T15:00:00'}, {'flightNumber': 'AI5933', 'date': '2025-07-25T10:43:00'}, {'flightNumber': 'FJ8625', 'date': '2025-02-27T22:53:00'}]"
e0dfd212-d041-4c02-ac8f-0ebe6459abe6,20,SB,Other,Economy,"['Central America', 'Europe']","[{'flightNumber': 'CM7832', 'date': '2025-07-01T12:06:00'}]"
99ab675f-afc7-48d8-84cc-bdedd56cc361,25,YE,Low Fare,Economy,"['Australia / Oceania', 'Europe', 'Middle East']","[{'flightNumber': 'TW6751', 'date': '2024-01-19T07:22:00'}, {'flightNumber': 'BR9150', 'date': '2025-05-21T07:41:00'}, {'flightNumber': 'WW3829', 'date': '2025-02-08T20:31:00'}, {'flightNumber': 'KE4316', 'date': '2024-07-12T06:57:00'}, {'flightNumber': 'ZW4691', 'date': '2024-09-30T16:14:00'}]"
813691e2-4649-434b-8248-6ded0bf0c10c,77,KE,Low Fare,Premium Economy,['Asia'],"[{'flightNumber': 'US5944', 'date': '2024-05-28T10:50:00'}, {'flightNumber': 'TA8568', 'date': '2024-01-05T16:41:00'}, {'flightNumber': 'AZ8712', 'date': '2025-08-07T22:25:00'}]"
b0f5aacd-06ad-4c63-a47d-ef0bd1f8a548,42,LA,Low Fare,Premium Economy,"['US', 'South America']","[{'flightNumber': 'YV7723', 'date': '2025-09-24T06:46:00'}]"
1d6095d7-f1cf-4cd0-b0d8-0208bacc6ab1,63,KZ,Other,Premium Economy,"['US', 'Mexico', 'Central America']","[{'flightNumber': 'MX545', 'date': '2024-01-18T06:14:00'}, {'flightNumber': 'TZ1699', 'date': '2025-09-16T01:33:00'}, {'flightNumber': 'WN651', 'date': '2025-12-17T22:43:00'}, {'flightNumber': 'SY6426', 'date': '2024-08-30T02:17:00'}, {'flightNumber': 'BA6988', 'date': '2024-07-16T12:04:00'}]"
844f47cd-c233-4368-8644-29a9de48273b,25,IQ,Low Fare,Economy,['Australia / Oceania'],"[{'flightNumber': 'XE8559', 'date': '2024-04-19T08:11:00'}]"
fe143758-5145-4d8b-8be2-78ad3dd5df68,46,TH,Low Fare,Economy,"['Middle East', 'South America']","[{'flightNumber': 'HA5940', 'date': '2024-08-28T14:12:00'}, {'flightNumber': 'TZ1397', 'date': '2024-10-20T10:57:00'}, {'flightNumber': 'DH8282', 'date': '2024-09-22T09:47:00'}]"
02557031-8477-40cb-9a8f-85deb0db7019,47,RO,Low Fare,Economy,"['Mexico', 'Canada', 'Middle East']","[{'flightNumber': 'G43174', 'date': '2025-06-10T12:56:00'}, {'flightNumber': 'UA9781', 'date': '2024-08-30T17:48:00'}, {'flightNumber': 'EK9004', 'date': '2025-02-27T17:06:00'}, {'flightNumber': 'DE3067', 'date': '2025-09-16T20:30:00'}, {'flightNumber': 'FF6683', 'date': '2025-12-10T14:00:00'}]"
09f8a9f4-d677-4d1f-b029-19d1525d7813,20,HR,Other,Business,"['Canada', 'Mexico']",[]
a43ba19c-159f-4861-bac8-3bc3935782c0,50,GR,Other,Economy,"['US', 'Middle East', 'Asia']","[{'flightNumber': 'WI2307', 'date': '2024-04-24T02:17:00'}, {'flightNumber': 'EK6709', 'date': '2024-11-12T16:04:00'}, {'flightNumber': 'TK4230', 'date': '2024-05-08T09:07:00'}]"
ce9b71c7-7edd-495e-bd03-c6be3ee7aee5,25,TO,Other,Economy,"['Middle East', 'Asia', 'Mexico']","[{'flightNumber': 'XE3458', 'date': '2024-08-22T07:17:00'}]"
7114b86a-9d71-4e3d-90dd-d85242220b6e,65,LT,Other,Premium Economy,"['US', 'Middle East', 'Central America']",[]
0d39a497-c8bc-4f1b-94ec-0eee3a670065,32,AM,Other,Premium Economy,"['Central America', 'Asia', 'Australia / Oceania']","[{'flightNumber': 'HQ5060', 'date': '2024-10-12T18:34:00'}]"
8e114778-d9db-4fd2-99ea-abb3a233300d,56,SC,Other,Economy,"['US', 'Central America']","[{'flightNumber': 'CI867', 'date': '2025-06-26T23:51:00'}, {'flightNumber': 'TK9571', 'date': '2025-03-06T08:11:00'}, {'flightNumber': 'TZ8432', 'date': '2024-09-22T21:30:00'}, {'flightNumber': 'CP7362', 'date': '2025-05-18T15:51:00'}]"
678706fc-2d37-4286-a144-5c96cceb650a,64,BN,Other,Premium Economy,"['Canada', 'Middle East', 'Australia / Oceania']","[{'flightNumber': 'NW8814', 'date': '2025-04-23T19:35:00'}]"
6e2533ed-0999-4498-8169-4494a001612a,75,LY,Other,Economy,['Canada'],[]
2d48f4b9-f699-494a-b378-e672d7007c9a,71,IS,Low Fare,Business,"['Asia', 'Australia / Oceania', 'Middle East']",[]
6078b989-d8d1-4099-95d9-ec3e26fadafd,42,ID,Low Fare,Business,"['Canada', 'Australia / Oceania']","[{'flightNumber': 'JL8661', 'date': '2024-12-17T08:17:00'}, {'flightNumber': 'NZ4804', 'date': '2025-04-25T22:10:00'}]"
9586d8b4-63fb-43fd-8bea-db0c6cd6f31f,31,TM,Other,Premium Economy,"['Canada', 'Asia']","[{'flightNumber': 'QF8310', 'date': '2024-05-28T11:42:00'}]"
1b3a2c38-0226-49bb-9c2d-2f7ffae87c2b,46,TR,Low Fare,Premium Economy,"['Europe', 'South America', 'Mexico']","[{'flightNumber': 'ZG944', 'date': '2024-10-30T11:38:00'}, {'flightNumber': 'CZ3111', 'date': '2024-11-18T14:31:00'}, {'flightNumber': 'BR933', 'date': '2025-10-25T07:30:00'}, {'flightNumber': 'CI5418', 'date': '2024-05-15T05:09:00'}]"
5afc210e-236f-4da0-b262-a3619b67114a,74,AD,Other,Premium Economy,['Central America'],"[{'flightNumber': 'EY6860', 'date': '2024-04-02T04:01:00'}, {'flightNumber': 'AF9182', 'date': '2024-10-29T11:22:00'}, {'flightNumber': 'NW1763', 'date': '2024-12-13T02:31:00'}, {'flightNumber': 'JL1374', 'date': '2024-09-30T18:57:00'}, {'flightNumber': 'US321', 'date': '2024-11-09T17:29:00'}]"
3502319b-aeb2-4ff7-9364-53888928d15d,65,HR,Other,Economy,"['Canada', 'South America']","[{'flightNumber': 'QK110', 'date': '2025-06-23T00:16:00'}, {'flightNumber': 'JX9875', 'date': '2025-08-02T06:25:00'}, {'flightNumber': 'MX879', 'date': '2024-01-02T21:41:00'}, {'flightNumber': 'MQ6301', 'date': '2024-12-04T06:52:00'}]"
8e43d037-1886-4b9f-8f51-06dd08b1ae9e,19,CD,Other,Business,"['Middle East', 'Mexico', 'Canada']","[{'flightNumber': 'DH996', 'date': '2025-07-13T14:45:00'}, {'flightNumber': 'EK5484', 'date': '2025-11-30T22:34:00'}, {'flightNumber': 'FL552', 'date': '2025-09-13T04:00:00'}, {'flightNumber': 'CZ3963', 'date': '2024-08-16T18:26:00'}, {'flightNumber': 'BR9868', 'date': '2024-04-04T21:38:00'}]"
f76dc0ec-7604-4d38-9055-5a9fb8b31ae0,28,GY,Other,Economy,"['Mexico', 'Canada']","[{'flightNumber': 'CP6678', 'date': '2025-01-04T22:11:00'}, {'flightNumber': 'JL3954', 'date': '2024-03-25T15:09:00'}, {'flightNumber': 'S65157', 'date': '2024-05-04T22:55:00'}, {'flightNumber': '5Y9068', 'date': '2025-08-14T18:24:00'}]"
d74f1792-d805-4b1a-9c9e-311f06b62a21,20,KZ,Other,Business,['Australia / Oceania'],"[{'flightNumber': 'AB2080', 'date': '2025-06-23T19:06:00'}, {'flightNumber': 'MX6153', 'date': '2024-03-04T17:24:00'}]"
c995f4d2-2f1e-42a8-b149-54f9c96d3490,62,GM,Other,Business,"['Mexico', 'US']",[]
dc3d841c-fc26-4d2e-9b16-e19a9d579b71,80,LS,Low Fare,Economy,"['Canada', 'US', 'Europe']","[{'flightNumber': 'BA440', 'date': '2025-10-15T07:41:00'}, {'flightNumber': 'WO6374', 'date': '2024-01-23T06:21:00'}]"
5603bf8e-865c-49ca-a13b-4a41f6c76d77,44,EC,Other,Premium Economy,['Canada'],"[{'flightNumber': 'SY5431', 'date': '2025-10-08T04:38:00'}, {'flightNumber': 'MQ5811', 'date': '2025-08-29T04:22:00'}]"
5bfe3fed-1386-4429-9142-d9a8d199e2ec,44,CD,Other,Premium Economy,"['Middle East', 'Australia / Oceania']","[{'flightNumber': 'CP7800', 'date': '2024-08-02T22:21:00'}, {'flightNumber': 'CP3689', 'date': '2025-02-20T03:37:00'}, {'flightNumber': 'IB5320', 'date': '2024-01-08T11:33:00'}, {'flightNumber': 'CP7713', 'date': '2025-09-07T17:33:00'}, {'flightNumber': 'IB2065', 'date': '2024-10-26T00:23:00'}]"
d61396e9-b139-4731-ab63-16b6ec8193a8,78,CF,Low Fare,Economy,['US'],"[{'flightNumber': 'AZ7158', 'date': '2025-04-17T00:59:00'}, {'flightNumber': 'FL1320', 'date': '2025-04-21T09:16:00'}]"
ab53b613-0ed1-42c4-9b70-1b00470a5e2d,53,CD,Other,Economy,"['Mexico', 'Asia', 'US']","[{'flightNumber': 'AS7260', 'date': '2025-12-10T04:14:00'}, {'flightNumber': 'WN3943', 'date': '2025-02-23T13:07:00'}]"
bbc917ee-2428-4ff9-92a7-16ccdbd2e968,50,MR,Other,Economy,"['Europe', 'Canada', 'Central America']","[{'flightNumber': 'HQ768', 'date': '2024-10-22T07:14:00'}]"
4bab0abc-703d-4e9c-9d77-26dcda1e83f9,49,BJ,Low Fare,Economy,"['Mexico', 'Canada', 'Central America']",[]
0a68f826-629b-409e-802a-2e94852a3779,43,SN,Low Fare,Premium Economy,"['South America', 'Canada', 'Australia / Oceania']","[{'flightNumber': 'AF214', 'date': '2024-01-08T09:35:00'}, {'flightNumber': 'MX9527', 'date': '2024-06-06T08:27:00'}, {'flightNumber': 'TK5501', 'date': '2024-10-27T03:08:00'}, {'flightNumber': 'FI400', 'date': '2025-03-14T01:07:00'}]"
1fc0c9a9-cc20-4121-bee9-140e086bffbc,48,VA,Low Fare,Economy,"['Canada', 'Mexico']","[{'flightNumber': 'EY6247', 'date': '2024-08-22T15:32:00'}]"
8ada080c-b378-4f45-988c-0179ae73963a,45,IN,Low Fare,Economy,"['US', 'Mexico', 'Middle East']","[{'flightNumber': 'DH4638', 'date': '2025-02-11T15:29:00'}, {'flightNumber': 'TZ2952', 'date': '2024-03-18T09:39:00'}]"
