flightNumber,date,fare,fareClass,seatsAvailable,priceCategory
YP7553,2024-05-26T03:19:00,190.41,Premium Economy,83,Low Fare
AZ3563,2025-07-19T06:28:00,1184.24,Economy,156,Other
MX8008,2025-11-18T11:15:00,1193.56,Economy,60,Other
AA2383,2024-12-27T05:19:00,391.45,Economy,22,Other
JX6111,2025-08-10T13:17:00,856.51,Business,71,Other
MX9793,2024-05-02T03:00:00,251.83,Premium Economy,21,Low Fare
9W3949,2024-06-08T10:44:00,347.88,Premium Economy,144,Low Fare
B62517,2024-03-14T12:19:00,401.79,Business,98,Other
PD6664,2025-12-30T12:10:00,244.81,Premium Economy,19,Low Fare
FL330,2024-04-18T08:01:00,564.27,Premium Economy,40,Other
AY2068,2024-06-29T17:24:00,347.02,Premium Economy,41,Low Fare
MG8299,2024-06-24T10:16:00,157.64,Business,168,Low Fare
BF5197,2024-02-17T17:12:00,272.14,Economy,164,Low Fare
JL5265,2025-09-01T07:18:00,217.25,Premium Economy,56,Low Fare
WO5429,2025-10-02T17:19:00,1301.3,Economy,132,Other
PE1960,2025-06-23T06:36:00,1214.4,Business,125,Other
FL6037,2025-01-21T17:38:00,789.58,Business,45,Other
CP202,2025-11-14T02:08:00,302.5,Economy,57,Low Fare
MG3682,2024-09-20T04:56:00,1069.47,Premium Economy,43,Other
GL2381,2025-05-17T10:00:00,309.88,Premium Economy,42,Other
4O6114,2025-01-01T02:11:00,1022.86,Economy,180,Other
OZ2371,2024-05-22T17:15:00,1286.56,Business,104,Other
YP8295,2025-10-19T00:25:00,130.03,Premium Economy,183,Low Fare
AI3088,2024-08-21T23:27:00,237.31,Premium Economy,45,Low Fare
Y46273,2024-05-18T08:12:00,408.38,Premium Economy,62,Other
LY7928,2025-06-05T18:09:00,382.38,Economy,172,Low Fare
QK2092,2024-10-14T11:31:00,1045.23,Economy,112,Other
Y49822,2025-06-25T00:19:00,134.56,Economy,185,Low Fare
EV5000,2025-05-22T23:54:00,234.38,Business,70,Low Fare
JL2589,2024-07-27T03:45:00,841.77,Business,146,Other
NW584,2024-01-24T10:54:00,1322.06,Premium Economy,73,Other
EY1715,2025-08-05T08:22:00,394.8,Business,174,Low Fare
PR3967,2024-02-01T06:40:00,1452.41,Business,129,Other
CZ4057,2024-02-05T13:13:00,338.54,Premium Economy,118,Low Fare
MG9914,2025-12-30T01:34:00,1133.91,Premium Economy,11,Other
XJ3319,2024-08-19T05:02:00,866.68,Economy,155,Other
SY3918,2024-12-01T06:45:00,123.29,Business,196,Low Fare
WO8742,2024-06-02T11:19:00,124.95,Economy,27,Low Fare
YV3653,2025-12-14T14:50:00,817.59,Economy,122,Other
QR8331,2025-06-24T17:58:00,226.29,Business,53,Low Fare
SR9044,2025-02-21T16:49:00,204.27,Business,139,Low Fare
WO5486,2025-09-28T04:01:00,1289.63,Economy,133,Other
SK3151,2024-01-05T23:11:00,343.2,Business,94,Other
UA3059,2025-05-19T19:29:00,255.45,Business,147,Low Fare
S61616,2024-03-05T19:43:00,1334.85,Business,160,Other
CI1164,2025-10-17T23:01:00,513.72,Premium Economy,116,Other
CA5339,2024-11-02T16:14:00,119.44,Economy,136,Low Fare
VX4981,2024-01-04T09:03:00,531.29,Economy,49,Other
NZ6749,2024-08-18T18:18:00,1083.83,Business,85,Other
NK141,2025-06-23T03:55:00,307.16,Business,153,Other
ZW7939,2024-10-01T06:19:00,184.84,Business,41,Low Fare
NH755,2024-07-08T21:52:00,1269.78,Business,18,Other
TP7896,2025-11-06T17:27:00,621.02,Economy,101,Other
CC4265,2024-11-10T00:30:00,299.49,Economy,97,Low Fare
AX5594,2025-03-19T08:07:00,480.45,Business,133,Other
CM7437,2024-11-11T00:13:00,1278.57,Business,33,Other
BR2191,2025-11-08T01:22:00,234.84,Business,164,Low Fare
EY9182,2025-04-12T22:38:00,217.41,Business,105,Low Fare
AX3645,2024-02-10T14:23:00,137.67,Premium Economy,83,Low Fare
OH3245,2025-01-15T19:48:00,851.62,Business,42,Other
NZ1088,2025-02-19T14:44:00,172.37,Premium Economy,109,Low Fare
SY5105,2024-05-03T01:45:00,115.99,Premium Economy,120,Low Fare
QK1671,2025-02-21T23:18:00,712.8,Economy,152,Other
LY2538,2025-08-12T10:16:00,752.58,Economy,88,Other
RW1537,2025-07-11T13:42:00,239.13,Economy,91,Low Fare
PR4125,2024-04-15T15:03:00,739.06,Economy,164,Other
LY8340,2024-05-12T20:23:00,337.79,Economy,142,Low Fare
SE8211,2025-10-07T01:35:00,201.99,Economy,82,Low Fare
SE1166,2025-09-25T14:07:00,362.01,Economy,98,Low Fare
EK4299,2025-09-02T00:34:00,1448.79,Economy,113,Other
MG6997,2025-01-16T02:23:00,1337.48,Premium Economy,38,Other
Z09705,2024-07-07T04:14:00,171.53,Premium Economy,62,Low Fare
MQ1465,2025-04-29T14:22:00,1252.85,Premium Economy,72,Other
MU5740,2024-09-23T17:20:00,386.43,Premium Economy,184,Other
EI312,2025-11-01T03:54:00,308.53,Business,43,Low Fare
EI8907,2025-03-13T09:49:00,590.53,Premium Economy,102,Other
EI9701,2024-10-25T14:41:00,316.41,Premium Economy,21,Other
5Y8177,2025-03-03T18:13:00,299.55,Premium Economy,85,Low Fare
MX7390,2025-08-26T18:49:00,305.47,Premium Economy,132,Low Fare
CP3202,2025-11-15T23:13:00,319.64,Business,168,Other
EZ1294,2024-09-16T02:56:00,1245.74,Business,147,Other
HQ9591,2025-10-24T05:26:00,158.51,Economy,199,Low Fare
FF7206,2024-11-07T08:52:00,329.3,Business,189,Low Fare
G43448,2025-05-25T18:43:00,362.99,Premium Economy,192,Low Fare
UA5632,2024-02-17T12:01:00,1371.0,Economy,22,Other
OO8081,2024-01-15T23:36:00,846.7,Economy,178,Other
FJ5198,2025-01-29T05:38:00,1086.95,Premium Economy,162,Other
DP9939,2024-03-23T03:38:00,1024.98,Economy,164,Other
TZ3906,2024-12-03T09:12:00,254.45,Economy,54,Low Fare
LP739,2025-05-01T20:58:00,361.6,Business,42,Low Fare
LP1789,2025-08-09T02:25:00,309.35,Premium Economy,36,Low Fare
QX2535,2025-11-16T17:51:00,323.07,Economy,177,Low Fare
XP7195,2025-01-18T11:19:00,104.8,Business,146,Low Fare
FI1296,2025-08-07T10:35:00,287.93,Economy,106,Low Fare
SK752,2025-12-06T13:49:00,1371.82,Economy,124,Other
AS3479,2025-08-24T21:00:00,134.34,Economy,106,Low Fare
TA879,2024-05-03T11:15:00,1008.04,Economy,167,Other
CX5062,2025-02-05T09:54:00,890.75,Economy,162,Other
Z04705,2025-09-08T09:26:00,325.99,Economy,106,Other
MQ3634,2024-03-21T18:35:00,1019.47,Business,153,Other
NW2527,2025-01-29T17:44:00,323.37,Economy,137,Low Fare
UA1975,2025-09-28T20:34:00,861.68,Business,75,Other
UA4778,2024-12-08T17:40:00,1450.14,Business,29,Other
JX8476,2024-04-25T07:54:00,1453.46,Premium Economy,146,Other
CM7628,2024-11-17T15:45:00,1460.04,Premium Economy,94,Other
XJ6649,2025-09-12T04:01:00,1457.68,Economy,119,Other
VX2289,2024-10-13T00:51:00,392.08,Business,158,Low Fare
XJ1782,2024-10-09T14:32:00,1127.24,Economy,151,Other
QK6553,2025-07-03T15:48:00,277.12,Premium Economy,84,Low Fare
S6257,2025-11-29T19:00:00,325.69,Economy,74,Low Fare
XJ7540,2024-09-15T22:08:00,354.28,Economy,168,Low Fare
PD9090,2024-01-22T01:17:00,1433.66,Business,121,Other
ZW6331,2025-06-14T19:43:00,1176.45,Economy,46,Other
QK312,2025-03-12T11:19:00,281.0,Economy,101,Low Fare
LY1686,2024-01-04T18:09:00,937.91,Premium Economy,171,Other
CP5242,2024-06-26T20:50:00,389.26,Economy,39,Low Fare
AZ2439,2024-08-16T15:56:00,1279.5,Premium Economy,192,Other
QF4873,2025-10-06T01:35:00,1209.5,Economy,55,Other
CC209,2024-07-08T20:57:00,234.51,Premium Economy,189,Low Fare
CZ6374,2024-04-20T20:29:00,126.09,Premium Economy,191,Low Fare
TA5509,2024-11-22T05:09:00,794.39,Premium Economy,160,Other
UA8979,2025-07-15T01:09:00,645.32,Premium Economy,160,Other
NK5738,2024-11-26T09:51:00,884.16,Economy,20,Other
QF3192,2024-10-24T14:22:00,1287.2,Economy,11,Other
FL4441,2024-06-10T08:57:00,204.56,Business,175,Low Fare
CA9105,2024-10-02T01:50:00,443.47,Economy,193,Other
N78235,2025-12-02T09:30:00,430.16,Premium Economy,12,Other
Z06869,2024-03-02T21:46:00,1436.51,Economy,63,Other
KL4202,2024-08-10T09:02:00,270.31,Premium Economy,172,Low Fare
SS816,2024-06-28T03:37:00,118.94,Economy,171,Low Fare
G42542,2025-11-14T17:10:00,506.97,Economy,89,Other
YX9716,2025-12-24T10:23:00,1395.34,Business,164,Other
NZ2526,2024-10-30T02:51:00,312.43,Premium Economy,164,Low Fare
QX8532,2025-10-12T23:53:00,284.74,Economy,23,Low Fare
EZ9369,2024-05-17T13:27:00,345.79,Business,63,Other
TS9766,2025-01-05T08:45:00,172.72,Business,47,Low Fare
F86975,2024-05-24T19:03:00,300.88,Business,175,Low Fare
AX635,2025-02-27T15:07:00,481.05,Business,119,Other
AS6409,2024-09-18T22:06:00,1175.94,Premium Economy,103,Other
RD7147,2024-04-20T17:27:00,544.52,Premium Economy,68,Other
CI4452,2024-04-23T10:51:00,255.83,Premium Economy,174,Low Fare
F91019,2025-11-14T10:43:00,134.64,Business,110,Low Fare
VX1250,2025-05-15T17:12:00,621.9,Business,167,Other
YX390,2024-02-10T22:54:00,384.91,Economy,105,Other
4O687,2025-05-11T01:27:00,560.26,Economy,200,Other
FL8410,2024-02-10T22:27:00,387.89,Business,103,Other
SS2352,2024-10-14T04:32:00,610.08,Economy,89,Other
UA6583,2024-11-07T10:14:00,920.2,Economy,139,Other
NK1597,2024-03-11T22:41:00,395.82,Economy,56,Low Fare
WW1182,2025-04-13T13:24:00,174.28,Premium Economy,73,Low Fare
RD4831,2025-11-23T07:45:00,250.1,Economy,172,Low Fare
AY6131,2024-11-21T23:27:00,189.51,Business,150,Low Fare
OZ6904,2025-01-03T16:20:00,1475.95,Premium Economy,66,Other
BA3735,2025-03-20T21:00:00,133.39,Business,20,Low Fare
AY7258,2025-02-12T08:07:00,235.84,Economy,17,Low Fare
RD9182,2024-08-29T07:22:00,332.42,Business,102,Low Fare
KE6319,2024-01-12T18:26:00,185.02,Premium Economy,107,Low Fare
AS5270,2025-01-08T11:37:00,557.3,Business,110,Other
NK3358,2024-05-03T01:12:00,1214.9,Premium Economy,26,Other
4O794,2024-06-01T16:23:00,352.44,Premium Economy,166,Other
CZ3787,2025-04-13T14:31:00,399.06,Premium Economy,86,Low Fare
YP1603,2024-03-08T06:27:00,348.94,Economy,26,Low Fare
HQ1420,2024-12-08T18:52:00,337.22,Premium Economy,119,Low Fare
MT5910,2025-08-03T11:30:00,368.99,Economy,40,Low Fare
NJ3131,2025-06-17T08:40:00,328.72,Premium Economy,81,Low Fare
EI2380,2025-10-30T08:24:00,180.52,Premium Economy,109,Low Fare
CX7027,2025-12-12T19:03:00,905.14,Economy,141,Other
BA1924,2024-04-12T08:38:00,392.26,Economy,183,Other
BR1285,2025-08-06T06:34:00,1295.75,Economy,193,Other
CX1022,2025-11-19T17:38:00,283.01,Economy,198,Low Fare
UA2448,2025-08-01T22:47:00,459.45,Business,189,Other
FL4186,2024-06-22T16:15:00,580.13,Premium Economy,122,Other
PE889,2025-07-15T20:22:00,1257.08,Premium Economy,14,Other
FL4770,2025-03-23T01:56:00,210.23,Business,179,Low Fare
SK1155,2024-11-23T00:09:00,311.46,Premium Economy,184,Low Fare
QQ7471,2025-11-10T06:07:00,1392.34,Business,89,Other
GL6833,2024-05-16T18:29:00,693.98,Premium Economy,139,Other
LX980,2024-08-17T20:59:00,205.06,Economy,145,Low Fare
AZ8028,2025-07-07T10:16:00,204.17,Economy,70,Low Fare
OH1468,2025-07-02T07:53:00,434.4,Business,35,Other
LY4528,2024-11-16T03:38:00,782.37,Premium Economy,150,Other
FJ5833,2025-10-21T13:58:00,559.69,Premium Economy,102,Other
TA8404,2025-03-05T10:01:00,872.15,Premium Economy,142,Other
DH1217,2024-08-07T22:47:00,1389.54,Business,130,Other
5Y946,2025-04-07T13:28:00,206.02,Business,175,Low Fare
WN6882,2025-12-30T11:18:00,104.55,Business,28,Low Fare
US734,2024-12-17T23:22:00,1333.45,Premium Economy,177,Other
CP3004,2025-08-10T17:23:00,309.57,Economy,119,Other
FJ4628,2024-08-11T20:01:00,159.85,Premium Economy,169,Low Fare
RD3379,2025-10-22T01:15:00,1289.35,Economy,175,Other
IB1269,2025-06-13T06:53:00,333.66,Premium Economy,178,Other
SQ2638,2025-01-30T19:50:00,219.88,Economy,43,Low Fare
OZ4008,2025-05-04T04:21:00,105.79,Economy,85,Low Fare
MQ8454,2024-06-23T22:32:00,150.88,Economy,149,Low Fare
MQ8965,2024-03-20T05:09:00,237.38,Economy,30,Low Fare
AM7929,2024-05-08T13:29:00,925.9,Economy,120,Other
MQ930,2025-08-23T18:57:00,108.67,Economy,56,Low Fare
EZ5310,2025-08-17T06:58:00,1092.77,Premium Economy,155,Other
AY6348,2024-03-31T10:59:00,1106.53,Premium Economy,174,Other
TW6055,2024-12-06T12:52:00,660.12,Economy,137,Other
XE9818,2024-04-06T09:15:00,152.78,Business,65,Low Fare
PE3443,2024-05-13T21:46:00,817.35,Premium Economy,37,Other
CP2446,2024-06-01T13:01:00,1181.15,Premium Economy,43,Other
AB4510,2024-10-19T17:55:00,707.16,Premium Economy,148,Other
EV7100,2025-10-17T03:12:00,325.5,Business,190,Low Fare
EZ8929,2024-10-01T05:46:00,953.67,Business,111,Other
AS5307,2024-11-24T16:07:00,1449.62,Economy,105,Other
VX3547,2024-05-20T07:34:00,285.62,Premium Economy,80,Low Fare
HQ5877,2024-07-02T23:43:00,1331.57,Economy,95,Other
VX7791,2024-12-10T01:25:00,1066.0,Economy,21,Other
DL1807,2025-01-25T10:20:00,340.01,Business,86,Low Fare
CP3433,2025-10-02T07:18:00,390.01,Business,41,Low Fare
AZ2347,2024-09-12T16:32:00,122.35,Premium Economy,116,Low Fare
RW2645,2024-06-03T13:33:00,588.18,Premium Economy,176,Other
FF845,2025-03-23T23:28:00,1466.66,Business,166,Other
XP1418,2025-03-10T08:37:00,516.12,Economy,134,Other
QQ5161,2025-10-27T05:09:00,385.49,Economy,115,Low Fare
OO3666,2024-11-28T22:30:00,314.94,Economy,24,Low Fare
FI3918,2024-07-31T16:47:00,186.01,Business,75,Low Fare
CM1923,2024-06-22T15:55:00,272.21,Premium Economy,25,Low Fare
VS945,2025-03-07T21:34:00,543.74,Economy,101,Other
LP5242,2024-09-20T00:55:00,1152.47,Business,70,Other
AM4360,2024-01-04T06:13:00,265.02,Business,176,Low Fare
MX2163,2024-04-10T21:05:00,1371.4,Premium Economy,92,Other
5Y4028,2024-09-07T07:01:00,1176.89,Economy,175,Other
VN5494,2025-11-01T03:52:00,687.08,Premium Economy,137,Other
EY5607,2025-02-06T21:25:00,171.62,Business,115,Low Fare
CC8908,2024-03-05T19:56:00,343.79,Premium Economy,139,Low Fare
AZ2146,2024-04-27T17:21:00,1136.29,Premium Economy,154,Other
F88300,2024-01-29T15:51:00,365.29,Economy,174,Low Fare
9W7441,2024-06-18T11:20:00,210.06,Economy,72,Low Fare
OO539,2025-05-12T18:24:00,368.55,Business,67,Low Fare
MQ6994,2024-10-10T15:43:00,706.87,Economy,117,Other
MX1486,2024-11-02T04:17:00,383.47,Business,148,Low Fare
EY3334,2025-10-10T08:41:00,952.33,Business,19,Other
XE6162,2024-05-01T02:01:00,310.83,Premium Economy,152,Low Fare
9W5894,2024-08-31T21:07:00,357.07,Premium Economy,84,Low Fare
FI5231,2024-11-18T16:21:00,242.39,Economy,158,Low Fare
AA2604,2024-07-02T11:24:00,444.4,Economy,23,Other
XP9077,2024-02-22T11:39:00,1264.47,Economy,68,Other
AI9450,2025-05-16T09:06:00,1435.05,Business,62,Other
MU9462,2025-05-29T13:07:00,977.85,Business,197,Other
PD4498,2024-04-20T03:40:00,334.52,Premium Economy,71,Low Fare
AI5215,2025-07-03T14:35:00,118.16,Business,49,Low Fare
AY1618,2025-10-12T06:25:00,650.08,Premium Economy,61,Other
QQ9957,2024-05-15T23:25:00,154.27,Premium Economy,15,Low Fare
YV5485,2025-05-13T04:33:00,171.78,Premium Economy,141,Low Fare
OH5084,2025-09-28T13:41:00,315.53,Premium Economy,136,Low Fare
B62228,2025-09-13T14:33:00,200.29,Business,15,Low Fare
SR8515,2025-08-16T00:11:00,357.6,Business,187,Low Fare
AX2629,2025-08-05T14:14:00,882.66,Economy,86,Other
YV9458,2024-12-30T02:08:00,325.63,Economy,28,Other
EZ2063,2025-10-08T02:53:00,418.85,Business,129,Other
AF9064,2024-09-13T18:05:00,471.71,Business,193,Other
MG9784,2025-08-28T04:34:00,632.34,Premium Economy,171,Other
GL8479,2024-03-31T04:24:00,1272.17,Economy,77,Other
MX5073,2024-12-25T09:16:00,331.46,Economy,99,Low Fare
BBB9210,2025-06-15T14:50:00,374.87,Economy,154,Other
MT6912,2025-08-12T02:38:00,231.88,Premium Economy,71,Low Fare
NZ3890,2025-08-24T16:52:00,1481.84,Economy,185,Other
CM2941,2024-05-26T22:29:00,554.55,Premium Economy,172,Other
MU2304,2025-12-23T13:25:00,153.31,Economy,198,Low Fare
AC3386,2024-10-16T11:14:00,1093.04,Business,158,Other
ZW3027,2024-11-06T14:11:00,684.62,Economy,146,Other
TW8896,2025-10-31T10:08:00,390.78,Premium Economy,137,Other
US2013,2024-03-12T03:50:00,310.52,Business,154,Other
ZW6800,2025-10-06T16:10:00,148.93,Premium Economy,184,Low Fare
QX7229,2024-06-03T14:01:00,720.06,Premium Economy,153,Other
9W8585,2025-07-31T09:11:00,472.24,Premium Economy,69,Other
AC4946,2025-07-23T20:15:00,1239.4,Economy,168,Other
WI1213,2025-06-30T16:49:00,927.18,Premium Economy,42,Other
TW5204,2024-09-29T10:49:00,111.97,Premium Economy,54,Low Fare
WN3607,2024-10-19T16:46:00,979.36,Business,64,Other
XP7345,2025-06-10T09:25:00,1453.12,Premium Economy,97,Other
WN8000,2025-09-29T08:30:00,1460.62,Economy,194,Other
BF8376,2024-02-27T05:00:00,677.2,Premium Economy,61,Other
US2378,2025-05-22T21:16:00,269.65,Economy,157,Low Fare
FJ8125,2025-11-12T21:54:00,474.47,Economy,39,Other
CZ1766,2025-01-28T05:19:00,1021.41,Economy,93,Other
FJ4903,2025-12-21T22:31:00,230.36,Premium Economy,27,Low Fare
VN8812,2025-08-30T04:07:00,1166.53,Economy,52,Other
KE2706,2025-04-30T04:44:00,1160.02,Premium Economy,167,Other
Y41645,2025-03-20T15:34:00,158.75,Premium Economy,61,Low Fare
TA2878,2024-12-03T03:18:00,138.88,Business,71,Low Fare
LY9343,2024-10-18T13:44:00,1461.76,Business,25,Other
FF8441,2024-04-26T22:38:00,163.13,Business,22,Low Fare
WW6911,2025-04-26T01:41:00,1137.4,Premium Economy,194,Other
BA8613,2024-03-07T17:35:00,1020.07,Economy,188,Other
HQ512,2025-08-16T11:42:00,1448.06,Business,98,Other
DE2245,2024-03-05T13:49:00,469.4,Business,162,Other
LP6359,2025-01-02T02:32:00,280.21,Premium Economy,103,Low Fare
Y43778,2024-02-11T18:33:00,154.25,Business,91,Low Fare
VS465,2025-07-31T03:12:00,892.32,Premium Economy,43,Other
ZW6551,2025-10-19T15:18:00,117.71,Business,121,Low Fare
DL9017,2025-01-11T00:38:00,1171.03,Premium Economy,118,Other
PR3275,2024-07-09T06:12:00,1003.2,Economy,173,Other
SE8391,2025-05-30T08:47:00,150.06,Premium Economy,20,Low Fare
OH1945,2024-12-11T01:05:00,271.46,Premium Economy,87,Low Fare
NH7839,2025-06-15T18:28:00,529.73,Economy,89,Other
AY1817,2024-12-27T13:20:00,927.37,Premium Economy,42,Other
NZ7746,2024-07-07T19:16:00,837.48,Business,156,Other
WO8406,2024-04-20T05:13:00,1011.03,Premium Economy,108,Other
CX9635,2025-10-07T03:17:00,339.47,Economy,11,Low Fare
EY5273,2024-05-31T20:38:00,1125.17,Business,190,Other
5Y9472,2025-09-23T16:56:00,1226.14,Premium Economy,160,Other
SS7756,2024-12-12T15:23:00,260.46,Premium Economy,159,Low Fare
MT5201,2025-01-20T00:04:00,336.31,Premium Economy,185,Low Fare
US7080,2024-12-09T13:42:00,662.34,Economy,35,Other
CP9550,2024-02-12T01:48:00,797.91,Economy,159,Other
RW9071,2025-06-03T23:38:00,232.77,Economy,53,Low Fare
9W7423,2025-04-17T08:36:00,1140.06,Premium Economy,171,Other
CA9645,2024-06-24T21:42:00,1253.97,Business,142,Other
RW2105,2024-01-09T23:05:00,283.21,Economy,145,Low Fare
