flightNumber,airline,iataCode,origin,destination,region,departureTime,arrivalTime,duration,fare,fareClass,seatsAvailable,priceCategory,aircraftType,onTimePerformance
XP2488,Xtra Airways,XP,SFO,HKG,Asia,2025-07-20T21:04:00,2025-07-20T22:58:00,114,214.57,Business,90,Low Fare,Airbus A350,0.79
YX7285,Midwest Airlines,YX,SFO,CUN,Mexico,2024-06-28T13:12:00,2024-06-28T18:57:00,345,161.08,Economy,24,Low Fare,Airbus A320,0.91
BR5570,EVA Airways,BR,SFO,PTY,Central America,2024-10-05T17:34:00,2024-10-06T03:15:00,581,380.66,Economy,192,Low Fare,Airbus A350,0.86
WW6154,WOW Air,WW,SFO,LAX,Australia / Oceania,2024-12-17T09:39:00,2024-12-17T13:15:00,216,276.12,Premium Economy,144,Low Fare,Boeing 787,0.83
9W6382,Sports Hawk,9W,SFO,LAX,South America,2025-02-16T21:54:00,2025-02-17T06:38:00,524,133.33,Business,67,Low Fare,Airbus A320,0.86
Y43306,Volaris Airlines,Y4,SFO,LAX,Australia / Oceania,2025-09-26T17:26:00,2025-09-26T23:33:00,367,342.13,Economy,54,Low Fare,Boeing 787,0.74
TK7485,Turkish Airlines,TK,SFO,DEL,Asia,2025-06-24T06:59:00,2025-06-24T18:31:00,692,1113.04,Economy,179,Other,Airbus A320,0.89
MQ1393,American Eagle Airlines,MQ,SFO,CUN,Mexico,2025-04-03T02:35:00,2025-04-03T14:34:00,719,297.58,Premium Economy,103,Low Fare,Boeing 787,0.85
A82268,Ameriflight,A8,SFO,SIN,Asia,2025-01-26T04:26:00,2025-01-26T09:37:00,311,804.03,Premium Economy,48,Other,Airbus A320,0.87
YP7553,"Air Premia, Inc.",YP,SFO,PTY,Central America,2024-05-26T03:19:00,2024-05-26T09:47:00,388,190.41,Premium Economy,83,Low Fare,Airbus A320,0.92
AZ3563,ITA Airways,AZ,SFO,LAX,Australia / Oceania,2025-07-19T06:28:00,2025-07-19T17:38:00,670,1184.24,Economy,156,Other,Airbus A350,0.8
MX8008,Mexicana Airlines,MX,SFO,LAX,South America,2025-11-18T11:15:00,2025-11-18T17:16:00,361,1193.56,Economy,60,Other,Boeing 787,0.8
AA2383,American Airlines,AA,SFO,LAX,South America,2024-12-27T05:19:00,2024-12-27T14:16:00,537,391.45,Economy,22,Other,Airbus A350,0.92
JX6111,Starlux Airlines Co. LTD,JX,SFO,SIN,Asia,2025-08-10T13:17:00,2025-08-11T00:07:00,650,856.51,Business,71,Other,Boeing 737,0.95
MX9793,"Breeze Aviation Group, Inc.",MX,SFO,LAX,South America,2024-05-02T03:00:00,2024-05-02T05:17:00,137,251.83,Premium Economy,21,Low Fare,Boeing 737,0.92
9W3949,Jet Airways,9W,SFO,SJO,Central America,2024-06-08T10:44:00,2024-06-08T21:57:00,673,347.88,Premium Economy,144,Low Fare,Airbus A320,0.7
B62517,JetBlue Airways,B6,SFO,MIA,US,2024-03-14T12:19:00,2024-03-14T16:55:00,276,401.79,Business,98,Other,Boeing 787,0.93
PD6664,Porter Airlines (Canada) Limited,PD,SFO,FRA,Europe,2025-12-30T12:10:00,2025-12-30T21:02:00,532,244.81,Premium Economy,19,Low Fare,Airbus A350,0.77
FL330,AirTran Airways,FL,SFO,MIA,US,2024-04-18T08:01:00,2024-04-18T10:07:00,126,564.27,Premium Economy,40,Other,Airbus A320,0.75
AY2068,Finnair,AY,SFO,CDG,Europe,2024-06-29T17:24:00,2024-06-30T01:48:00,504,347.02,Premium Economy,41,Low Fare,Airbus A320,0.91
MG8299,Champion Air,MG,SFO,MIA,US,2024-06-24T10:16:00,2024-06-24T18:20:00,484,157.64,Business,168,Low Fare,Boeing 787,0.78
BF5197,French Bee,BF,SFO,SJO,Central America,2024-02-17T17:12:00,2024-02-18T01:00:00,468,272.14,Economy,164,Low Fare,Boeing 787,0.74
JL5265,Japan Airlines,JL,SFO,PTY,Central America,2025-09-01T07:18:00,2025-09-01T12:38:00,320,217.25,Premium Economy,56,Low Fare,Boeing 737,0.86
WO5429,World Airways,WO,SFO,LAX,Australia / Oceania,2025-10-02T17:19:00,2025-10-03T02:54:00,575,1301.3,Economy,132,Other,Airbus A350,0.91
PE1960,Air Europe,PE,SFO,LAX,South America,2025-06-23T06:36:00,2025-06-23T14:03:00,447,1214.4,Business,125,Other,Airbus A320,0.91
FL6037,AirTran Airways,FL,SFO,FRA,Europe,2025-01-21T17:38:00,2025-01-21T22:18:00,280,789.58,Business,45,Other,Boeing 787,0.73
CP202,Compass Airlines,CP,SFO,DEL,Asia,2025-11-14T02:08:00,2025-11-14T07:17:00,309,302.5,Economy,57,Low Fare,Boeing 787,0.7
MG3682,Champion Air,MG,SFO,LAX,South America,2024-09-20T04:56:00,2024-09-20T14:31:00,575,1069.47,Premium Economy,43,Other,Boeing 737,0.71
GL2381,Miami Air International,GL,SFO,HKG,Asia,2025-05-17T10:00:00,2025-05-17T19:27:00,567,309.88,Premium Economy,42,Other,Boeing 737,0.75
4O6114,North American Airlines,4O,SFO,LAX,Australia / Oceania,2025-01-01T02:11:00,2025-01-01T11:01:00,530,1022.86,Economy,180,Other,Boeing 737,0.77
OZ2371,Asiana Airlines,OZ,SFO,FRA,Europe,2024-05-22T17:15:00,2024-05-22T18:40:00,85,1286.56,Business,104,Other,Airbus A320,0.71
YP8295,"Air Premia, Inc.",YP,SFO,LHR,Europe,2025-10-19T00:25:00,2025-10-19T06:57:00,392,130.03,Premium Economy,183,Low Fare,Boeing 737,0.91
AI3088,Air India Limited,AI,SFO,LAX,US,2024-08-21T23:27:00,2024-08-22T10:08:00,641,237.31,Premium Economy,45,Low Fare,Boeing 787,0.74
Y46273,Volaris Airlines,Y4,SFO,AMS,Europe,2024-05-18T08:12:00,2024-05-18T10:14:00,122,408.38,Premium Economy,62,Other,Boeing 787,0.78
LY7928,Norwegian Air UK Ltd,LY,SFO,CUN,Mexico,2025-06-05T18:09:00,2025-06-06T04:27:00,618,382.38,Economy,172,Low Fare,Boeing 787,0.81
QK2092,Air Canada Jazz,QK,SFO,MIA,US,2024-10-14T11:31:00,2024-10-14T13:50:00,139,1045.23,Economy,112,Other,Airbus A320,0.87
Y49822,Volaris Airlines,Y4,SFO,LAX,South America,2025-06-25T00:19:00,2025-06-25T10:00:00,581,134.56,Economy,185,Low Fare,Airbus A350,0.8
EV5000,Atlantic Southeast Airlines,EV,SFO,LAX,South America,2025-05-22T23:54:00,2025-05-23T07:22:00,448,234.38,Business,70,Low Fare,Boeing 737,0.91
JL2589,Japan Airlines,JL,SFO,ORD,US,2024-07-27T03:45:00,2024-07-27T14:17:00,632,841.77,Business,146,Other,Airbus A320,0.87
NW584,Northwest Airlines (became Delta),NW,SFO,AMS,Europe,2024-01-24T10:54:00,2024-01-24T19:46:00,532,1322.06,Premium Economy,73,Other,Boeing 787,0.85
EY1715,Etihad Airways,EY,SFO,JFK,US,2025-08-05T08:22:00,2025-08-05T14:56:00,394,394.8,Business,174,Low Fare,Airbus A350,0.71
PR3967,Philippine Airlines,PR,SFO,SJO,Central America,2024-02-01T06:40:00,2024-02-01T16:38:00,598,1452.41,Business,129,Other,Airbus A320,0.89
CZ4057,China Southern,CZ,SFO,YYZ,Canada,2024-02-05T13:13:00,2024-02-05T22:13:00,540,338.54,Premium Economy,118,Low Fare,Boeing 737,0.95
MG9914,Champion Air,MG,SFO,AMS,Europe,2025-12-30T01:34:00,2025-12-30T06:17:00,283,1133.91,Premium Economy,11,Other,Airbus A320,0.73
XJ3319,Mesaba Airlines,XJ,SFO,SJO,Central America,2024-08-19T05:02:00,2024-08-19T06:14:00,72,866.68,Economy,155,Other,Boeing 737,0.81
SY3918,Sun Country Airlines,SY,SFO,YUL,Canada,2024-12-01T06:45:00,2024-12-01T13:15:00,390,123.29,Business,196,Low Fare,Airbus A320,0.83
WO8742,World Airways,WO,SFO,DOH,Middle East,2024-06-02T11:19:00,2024-06-02T16:10:00,291,124.95,Economy,27,Low Fare,Boeing 787,0.74
YV3653,Mesa Airlines,YV,SFO,LAX,South America,2025-12-14T14:50:00,2025-12-14T17:56:00,186,817.59,Economy,122,Other,Boeing 737,0.84
QR8331,Qatar Airways,QR,SFO,JFK,US,2025-06-24T17:58:00,2025-06-25T05:53:00,715,226.29,Business,53,Low Fare,Boeing 737,0.88
SR9044,Pacific Aviation,SR,SFO,MEX,Mexico,2025-02-21T16:49:00,2025-02-22T04:22:00,693,204.27,Business,139,Low Fare,Airbus A320,0.74
WO5486,World Airways,WO,SFO,PTY,Central America,2025-09-28T04:01:00,2025-09-28T09:56:00,355,1289.63,Economy,133,Other,Boeing 737,0.78
SK3151,SAS Airlines,SK,SFO,LAX,South America,2024-01-05T23:11:00,2024-01-06T07:08:00,477,343.2,Business,94,Other,Boeing 787,0.79
UA3059,Swissport USA,UA,SFO,CUN,Mexico,2025-05-19T19:29:00,2025-05-20T05:20:00,591,255.45,Business,147,Low Fare,Airbus A350,0.71
S61616,Star Air,S6,SFO,LAX,Australia / Oceania,2024-03-05T19:43:00,2024-03-06T07:37:00,714,1334.85,Business,160,Other,Airbus A350,0.76
CI1164,China Airlines,CI,SFO,YYZ,Canada,2025-10-17T23:01:00,2025-10-18T02:07:00,186,513.72,Premium Economy,116,Other,Airbus A320,0.72
CA5339,DB Air,CA,SFO,LAX,South America,2024-11-02T16:14:00,2024-11-02T21:40:00,326,119.44,Economy,136,Low Fare,Boeing 787,0.8
VX4981,Virgin America,VX,SFO,SJO,Central America,2024-01-04T09:03:00,2024-01-04T12:56:00,233,531.29,Economy,49,Other,Boeing 737,0.92
NZ6749,Air New Zealand,NZ,SFO,DXB,Middle East,2024-08-18T18:18:00,2024-08-18T21:25:00,187,1083.83,Business,85,Other,Boeing 787,0.7
NK141,Spirit Airlines,NK,SFO,SJO,Central America,2025-06-23T03:55:00,2025-06-23T13:59:00,604,307.16,Business,153,Other,Boeing 737,0.73
ZW7939,Swissport USA,ZW,SFO,PTY,Central America,2024-10-01T06:19:00,2024-10-01T17:45:00,686,184.84,Business,41,Low Fare,Airbus A320,0.81
NH755,"All Nippon Company Airways, Ltd.",NH,SFO,SJO,Central America,2024-07-08T21:52:00,2024-07-09T02:27:00,275,1269.78,Business,18,Other,Airbus A320,0.82
TP7896,TAP Air Portugal,TP,SFO,CUN,Mexico,2025-11-06T17:27:00,2025-11-07T02:57:00,570,621.02,Economy,101,Other,Airbus A350,0.75
CC4265,Pacific Aviation,CC,SFO,CUN,Mexico,2024-11-10T00:30:00,2024-11-10T02:50:00,140,299.49,Economy,97,Low Fare,Airbus A320,0.86
AX5594,Trans States Airlines,AX,SFO,LAX,South America,2025-03-19T08:07:00,2025-03-19T11:05:00,178,480.45,Business,133,Other,Boeing 737,0.74
CM7437,"COPA Airlines, Inc.",CM,SFO,LAX,US,2024-11-11T00:13:00,2024-11-11T07:20:00,427,1278.57,Business,33,Other,Boeing 737,0.83
BR2191,EVA Airways,BR,SFO,FRA,Europe,2025-11-08T01:22:00,2025-11-08T12:02:00,640,234.84,Business,164,Low Fare,Boeing 737,0.77
EY9182,Etihad Airways,EY,SFO,MIA,US,2025-04-12T22:38:00,2025-04-13T02:03:00,205,217.41,Business,105,Low Fare,Airbus A350,0.9
AX3645,Servisair,AX,SFO,LHR,Europe,2024-02-10T14:23:00,2024-02-11T00:39:00,616,137.67,Premium Economy,83,Low Fare,Boeing 787,0.77
OH3245,Comair,OH,SFO,CUN,Mexico,2025-01-15T19:48:00,2025-01-16T04:32:00,524,851.62,Business,42,Other,Airbus A350,0.83
